,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,tomatoImage,tomatoReviews
38,"Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina",Won 1 Oscar. Another 23 wins & 54 nominations.,"$373,377,893.00",USA,30 Nov 2004,Sam Raimi,"Action, Adventure","English, Russian, Chinese",83,Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.,https://images-na.ssl-images-amazon.com/images/M/MV5BMzY2ODk4NmUtOTVmNi00ZTdkLTlmOWYtMmE2OWVhNTU2OTVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Sony Pictures,PG-13,30 Jun 2004,True,127 min,Spider-Man 2,movie,http://spiderman.sonypictures.com/,"Stan Lee (comic book), Steve Ditko (comic book), Alfred Gough (screen story), Miles Millar (screen story), Michael Chabon (screen story), Alvin Sargent (screenplay)",2004,tt0316654,7.3,"428,978",certified,261
39,"Matt Damon, Franka Potente, Brian Cox, Julia Stiles",5 wins & 21 nominations.,"$176,049,130.00","USA, Germany",07 Dec 2004,Paul Greengrass,"Action, Mystery, Thriller","English, Russian, German, Italian",73,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTAxODk0MjEyMjZeQTJeQWpwZ15BbWU2MDgzMzExNw@@._V1_SX300.jpg,Universal Pictures,PG-13,23 Jul 2004,True,108 min,The Bourne Supremacy,movie,http://www.thebournesupremacy.com/,"Robert Ludlum (novel), Tony Gilroy (screenplay)",2004,tt0372183,7.8,"367,138",certified,191
40,"Sarah Polley, Ving Rhames, Jake Weber, Mekhi Phifer",1 win & 16 nominations.,"$58,885,635.00","USA, Canada, Japan, France",28 Dec 2004,Zack Snyder,"Action, Horror, Thriller",English,59,"A nurse, a policeman, a young married couple, a salesman, and other survivors of a worldwide plague that is producing aggressive, flesh-eating zombies, take refuge in a mega Midwestern shopping mall.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTI4OTU2NjY5OF5BMl5BanBnXkFtZTYwOTQ2Mzg3._V1_SX300.jpg,Universal Pictures,R,19 Mar 2004,True,101 min,Dawn of the Dead,movie,http://www.dawnofthedeadmovie.net/,"George A. Romero, James Gunn (screenplay)",2004,tt0363547,7.4,"200,187",certified,182
41,"Sanaa Lathan, Raoul Bova, Lance Henriksen, Ewen Bremner",2 wins & 4 nominations.,"$80,218,314.00","USA, UK, Czech Republic, Canada, Germany",25 Jan 2005,Paul W.S. Anderson,"Action, Horror, Sci-Fi","English, Italian",29,"During an archaeological expedition on Bouvetøya Island in Antarctica, a team of archaeologists and other scientists find themselves caught up in a battle between the two legends. Soon, the team realize that only one species can win.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4MjIwMTcyMl5BMl5BanBnXkFtZTYwMTYwNDA3._V1_SX300.jpg,20th Century Fox,PG-13,13 Aug 2004,True,101 min,AVP: Alien vs. Predator,movie,http://www.avp-movie.com,"Dan O'Bannon (""Alien"" characters), Ronald Shusett (""Alien"" characters), Jim Thomas (""Predator"" characters), John Thomas (""Predator"" characters), Paul W.S. Anderson (screen story), Dan O'Bannon (screen story), Ronald Shusett (screen story), Paul W.S. Anderson (screenplay)",2004,tt0370263,5.6,"148,264",rotten,141
42,"Adam Sandler, Drew Barrymore, Rob Schneider, Sean Astin",6 wins & 9 nominations.,"$120,776,832.00",USA,15 Jun 2004,Peter Segal,"Comedy, Romance","English, Hawaiian, Mandarin, Turkish",48,"Henry Roth is a man afraid of commitment up until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams, until he discovers she has short-term memory loss and forgets him the very next day.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwMzc4MDgxNF5BMl5BanBnXkFtZTYwNjUwMzE3._V1_SX300.jpg,Sony Pictures,PG-13,13 Feb 2004,True,99 min,50 First Dates,movie,http://www.sonypictures.com/movies/50firstdates/index.html,George Wing,2004,tt0343660,6.8,"275,262",rotten,174
43,"Will Smith, Bridget Moynahan, Alan Tudyk, James Cromwell",Nominated for 1 Oscar. Another 1 win & 13 nominations.,N/A,"USA, Germany",01 Dec 1998,Alex Proyas,"Action, Mystery, Sci-Fi",English,59,"In 2035, a technophobic cop investigates a crime that may have been perpetrated by a robot, which leads to a larger threat to humanity.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQwNzI5NTQ0OF5BMl5BanBnXkFtZTYwMTI3Mjk2._V1_SX300.jpg,N/A,PG-13,16 Jul 2004,True,115 min,"I, Robot",movie,N/A,"Jeff Vintar (screenplay), Akiva Goldsman (screenplay), Jeff Vintar (screen story), Isaac Asimov (suggested by book)",2004,tt0343818,7.1,"403,235",N/A,N/A
44,"Anne Hathaway, Hugh Dancy, Cary Elwes, Aidan McArdle",1 nomination.,"$22,811,339.00","USA, Ireland, UK",24 Aug 2004,Tommy O'Haver,"Comedy, Family, Fantasy",English,53,"Ella is under a spell to be constantly obedient, a fact she must hide from her new step-family in order to protect the prince of the land, her friend for whom she's falling.",https://images-na.ssl-images-amazon.com/images/M/MV5BZGI1MjMzMWEtZDc3Ni00Y2RiLTllOGQtMTVlZjRkOGE3MGNlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Miramax Films,PG,09 Apr 2004,True,96 min,Ella Enchanted,movie,http://www.miramax.com/ellaenchanted/index.html,"Laurie Craig (screenplay), Karen McCullah (screenplay), Kirsten Smith (screenplay), Jennifer Heath (screenplay), Michele J. Wolff (screenplay), Gail Carson Levine (based on the book by)",2004,tt0327679,6.3,"49,361",rotten,114
45,"Ethan Hawke, Julie Delpy, Vernon Dobtcheff, Louise Lemoine Torrès",Nominated for 1 Oscar. Another 9 wins & 27 nominations.,"$5,600,000.00",USA,09 Nov 2004,Richard Linklater,"Drama, Romance","English, French",90,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1MjAwNTM5Ml5BMl5BanBnXkFtZTYwNDM0MTc3._V1_SX300.jpg,Warner Independent Pictures,R,30 Jul 2004,True,80 min,Before Sunset,movie,http://wip.warnerbros.com/index.html?site=beforesunset,"Richard Linklater (screenplay), Julie Delpy (screenplay), Ethan Hawke (screenplay), Richard Linklater (story), Kim Krizan (story), Richard Linklater (characters), Kim Krizan (characters)",2004,tt0381681,8.0,"175,947",certified,171
46,"Tom Hanks, Catherine Zeta-Jones, Stanley Tucci, Chi McBride",5 wins & 3 nominations.,"$77,032,279.00",USA,23 Nov 2004,Steven Spielberg,"Comedy, Drama, Romance","English, French, Russian, Bulgarian, Spanish",55,"An eastern immigrant finds himself stranded in JFK airport, and must take up temporary residence there.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM1MTIwNTMxOF5BMl5BanBnXkFtZTcwNjIxMjQyMw@@._V1_SX300.jpg,DreamWorks SKG,PG-13,18 Jun 2004,True,128 min,The Terminal,movie,http://www.theterminal-themovie.com/,"Andrew Niccol (story), Sacha Gervasi (story), Sacha Gervasi (screenplay), Jeff Nathanson (screenplay)",2004,tt0362227,7.3,"316,684",fresh,201
47,"Daniel Craig, Tom Hardy, Jamie Foreman, Sally Hawkins",2 wins & 9 nominations.,"$2,277,736.00",UK,23 Aug 2005,Matthew Vaughn,"Crime, Drama, Thriller","English, Romanian",73,A successful cocaine dealer gets two tough assignments from his boss on the eve of his planned early retirement.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5MTE1OTAzOV5BMl5BanBnXkFtZTcwNDc2OTgyMQ@@._V1_SX300.jpg,Sony Classics,R,03 Jun 2005,True,105 min,Layer Cake,movie,http://sonypictures.co.uk/movies/layercake/,"J.J. Connolly (screenplay), J.J. Connolly (novel)",2004,tt0375912,7.4,"137,112",certified,135
48,"Mike Myers, Eddie Murphy, Cameron Diaz, Julie Andrews",Nominated for 2 Oscars. Another 16 wins & 48 nominations.,"$436,471,036.00",USA,02 Nov 2004,"Andrew Adamson, Kelly Asbury, Conrad Vernon","Animation, Adventure, Comedy",English,75,Princess Fiona's parents invite her and Shrek to dinner to celebrate her marriage. If only they knew the newlyweds were both ogres.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4MTMwNjI4M15BMl5BanBnXkFtZTcwMjExMzUyMQ@@._V1_SX300.jpg,DreamWorks SKG,PG,19 May 2004,True,93 min,Shrek 2,movie,http://www.shrek2.com/,"William Steig (book), Andrew Adamson (story), Andrew Adamson (screenplay), Joe Stillman (screenplay), J. David Stem (screenplay), David N. Weiss (screenplay), Cody Cameron (additional dialogue), Walt Dohrn (additional dialogue), Chris Miller (additional dialogue), David P. Smith (additional dialogue), Conrad Vernon (additional dialogue), Charles Perrault (characters), Jeff Snow (story)",2004,tt0298148,7.2,"326,996",certified,233
49,"Johnny Depp, Kate Winslet, Julie Christie, Radha Mitchell",Won 1 Oscar. Another 19 wins & 76 nominations.,N/A,"USA, UK",22 Mar 2005,Marc Forster,"Biography, Drama, Family",English,67,The story of J.M. Barrie's friendship with a family who inspired him to create Peter Pan.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxNzYzNzUzMV5BMl5BanBnXkFtZTYwNjcwMjE3._V1_SX300.jpg,Miramax Films,PG,17 Dec 2004,True,106 min,Finding Neverland,movie,http://www.miramax.com/jmbarries_neverland/,"Allan Knee (play), David Magee (screenplay)",2004,tt0308644,7.8,"177,006",certified,202
50,"Kieran O'Brien, Margo Stilley",1 win & 2 nominations.,N/A,UK,05 Nov 2005,Michael Winterbottom,"Drama, Music, Romance",English,43,"In London, England, love blooms between an American college student, named Lisa, and a British glaciologist, named Matt, where over the next few months in between attending rock concerts, the two lovers have intense sexual encounters.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM3ODc4MTI2OV5BMl5BanBnXkFtZTcwMTA4NjUzMQ@@._V1_SX300.jpg,Tartan Films (UK),NOT RATED,11 Mar 2005,True,71 min,9 Songs,movie,http://films.tartanfilmsusa.com/9songs/,N/A,2004,tt0411705,4.9,"18,378",rotten,95
51,"Will Ferrell, Christina Applegate, Paul Rudd, Steve Carell",1 win & 12 nominations.,"$84,136,909.00",USA,28 Dec 2004,Adam McKay,Comedy,"English, French, Spanish",63,"Ron Burgundy is San Diego's top-rated newsman in the male-dominated broadcasting of the 1970s, but that's all about to change for Ron and his cronies when an ambitious woman is hired as a new anchor.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2MzYwMzk5Ml5BMl5BanBnXkFtZTcwOTI4NzUyMw@@._V1_SX300.jpg,Dreamworks,PG-13,09 Jul 2004,True,94 min,Anchorman: The Legend of Ron Burgundy,movie,http://www.anchorman-themovie.com/,"Will Ferrell, Adam McKay",2004,tt0357413,7.2,"276,452",fresh,197
52,"Vin Diesel, Colm Feore, Thandie Newton, Judi Dench",4 nominations.,"$56,800,000.00",USA,16 Nov 2004,David Twohy,"Action, Adventure, Sci-Fi",English,38,"The wanted criminal Riddick arrives on a planet called Helion Prime, and finds himself up against an invading empire called the Necromongers, an army that plans to convert or kill all humans in the universe.",https://images-na.ssl-images-amazon.com/images/M/MV5BYzU0ODM5NmQtYjhlMi00MTJhLThlNzItOTg1Mjc5Y2VhY2NmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Universal Pictures,PG-13,11 Jun 2004,True,119 min,The Chronicles of Riddick,movie,http://www.thechroniclesofriddick.com,"Jim Wheat (characters), Ken Wheat (characters), David Twohy",2004,tt0296572,6.7,"187,746",rotten,162
53,"Shane Carruth, David Sullivan, Casey Gooden, Anand Upadhyaya",3 wins & 7 nominations.,"$392,420.00",USA,05 Apr 2005,Shane Carruth,"Drama, Sci-Fi, Thriller","English, French",68,"Four friends/fledgling entrepreneurs, knowing that there's something bigger and more innovative than the different error-checking devices they've built, wrestle over their new invention.",https://images-na.ssl-images-amazon.com/images/M/MV5BNjc3OWVjMTItYjc0Yi00NmFlLTk2YTgtYmU0MzcxMjBkNTYxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,ThinkFilm,PG-13,27 May 2005,True,77 min,Primer,movie,http://primermovie.com/,Shane Carruth,2004,tt0390384,7.0,"76,921",fresh,119
54,"Cuba Gooding Jr., Spencer Breslin, Nikki Blonsky, Ally Sheedy",N/A,N/A,USA,16 Sep 2008,T. Sean Shannon,Comedy,English,10,A teenager with an early onset of male-pattern baldness befriends his high school's janitor.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTA3MjE2OTQzNjleQTJeQWpwZ15BbWU3MDIyMDE3NzE@._V1_SX300.jpg,Arsenal Pictures,PG-13,11 Jul 2008,True,90 min,Harold,movie,http://www.haroldmoviesite.com/,"T. Sean Shannon, Greg Fields",2008,tt1041753,5.5,"1,684",rotten,16
55,"Paul Giamatti, Thomas Haden Church, Virginia Madsen, Sandra Oh",Won 1 Oscar. Another 120 wins & 82 nominations.,"$71,444,367.00","USA, Hungary",05 Apr 2005,Alexander Payne,"Comedy, Drama, Romance","English, Armenian",94,"Two men reaching middle age with not much to show but disappointment embark on a week-long road trip through California's wine country, just as one is about to take a trip down the aisle.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0Mjg3MzkxOV5BMl5BanBnXkFtZTYwNDU1OTY3._V1_SX300.jpg,Fox Searchlight Pictures,R,21 Jan 2005,True,126 min,Sideways,movie,http://www2.foxsearchlight.com/sideways/,"Rex Pickett (novel), Alexander Payne (screenplay), Jim Taylor (screenplay)",2004,tt0375063,7.5,"154,258",certified,223
56,"Zach Braff, Kenneth Graymez, George C. Wolfe, Austin Lysy",13 wins & 37 nominations.,"$26,706,668.00",USA,28 Dec 2004,Zach Braff,"Comedy, Drama, Romance","English, Klingon",67,A quietly troubled young man returns home for his mother's funeral after being estranged from his family for a decade.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjc5MDE0NjkxOF5BMl5BanBnXkFtZTcwNzA0NTkyMw@@._V1_SX300.jpg,Fox Searchlight,R,20 Aug 2004,True,102 min,Garden State,movie,http://www2.foxsearchlight.com/gardenstate/,Zach Braff,2004,tt0333766,7.6,"190,938",certified,188
57,"Bill Murray, Owen Wilson, Cate Blanchett, Anjelica Huston",3 wins & 10 nominations.,N/A,USA,01 Jan 1998,Wes Anderson,"Adventure, Comedy, Drama","English, Icelandic, Filipino, Portuguese, French, Tagalog, German, Italian",62,"With a plan to exact revenge on a mythical shark that killed his partner, oceanographer Steve Zissou rallies a crew that includes his estranged wife, a journalist, and a man who may or may not be his son.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzODYzNzg2MF5BMl5BanBnXkFtZTcwMTkzOTQzMw@@._V1_SX300.jpg,Empire Pictures,R,25 Dec 2004,True,119 min,The Life Aquatic with Steve Zissou,movie,http://www.empirepicturesusa.com/ep/show_movie.asp?title=10021,"Wes Anderson, Noah Baumbach",2004,tt0362270,7.3,"144,522",fresh,15
58,"Billy Bob Thornton, Lucas Black, Garrett Hedlund, Derek Luke",2 wins & 5 nominations.,"$60,600,000.00","Germany, USA",18 Jan 2005,Peter Berg,"Action, Drama, Sport",English,70,"Based on H.G. Bissinger's book, which profiled the economically depressed town of Odessa, Texas and their heroic high school football team, The Permian High Panthers.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxMDI5MTM4Ml5BMl5BanBnXkFtZTcwNjA4MDcyMQ@@._V1_SX300.jpg,Universal Pictures,PG-13,08 Oct 2004,True,118 min,Friday Night Lights,movie,http://www.fridaynightlightsmovie.com/,"Buzz Bissinger (book), David Aaron Cohen (screenplay), Peter Berg (screenplay)",2004,tt0390022,7.3,"48,574",certified,169
59,"Renée Zellweger, Gemma Jones, Jim Broadbent, James Faulkner",Nominated for 1 Golden Globe. Another 7 nominations.,"$40,203,020.00","UK, France, Germany, Ireland, USA",22 Mar 2005,Beeban Kidron,"Comedy, Drama, Romance","English, German, Thai",44,"After finding love, Bridget Jones questions if she really has everything she's dreamed of having.",https://images-na.ssl-images-amazon.com/images/M/MV5BOTJlNWQxZjctYmE3ZS00OTc0LWE2M2ItNzQwNmYyMjU4NDNmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Miramax Films,R,19 Nov 2004,True,108 min,Bridget Jones: The Edge of Reason,movie,http://www.bridgetjonesmovie.com/,"Helen Fielding (novel), Andrew Davies (screenplay), Helen Fielding (screenplay), Richard Curtis (screenplay), Adam Brooks (screenplay)",2004,tt0317198,5.9,"81,096",rotten,151
60,"Jennifer Garner, Mark Ruffalo, Judy Greer, Andy Serkis",11 nominations.,"$54,600,000.00",USA,07 Feb 2006,Gary Winick,"Comedy, Fantasy, Romance","English, Portuguese",57,A girl makes a wish on her 13th birthday and wakes up the next day as a 30-year-old woman.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1MTI3ODEwNF5BMl5BanBnXkFtZTcwOTA4NDUyMQ@@._V1_SX300.jpg,Sony Pictures,PG-13,23 Apr 2004,True,98 min,13 Going on 30,movie,http://www.sonypictures.com/movies/13goingon30/index.html,"Josh Goldsmith, Cathy Yuspa",2004,tt0337563,6.1,"126,462",fresh,163
61,"Hilary Duff, Jennifer Coolidge, Chad Michael Murray, Dan Byrd",6 wins & 8 nominations.,"$51,100,000.00","USA, Canada",19 Oct 2004,Mark Rosman,"Comedy, Family, Romance","English, German, Czech",25,"Routinely exploited by her wicked stepmother, the downtrodden Sam Montgomery is excited about the prospect of meeting her Internet beau at the school's Halloween dance.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTA1NDI0OTkwNDNeQTJeQWpwZ15BbWU3MDQ3Nzc1MjE@._V1_SX300.jpg,Warner Bros. Pictures,PG,16 Jul 2004,True,95 min,A Cinderella Story,movie,http://www2.warnerbros.com/acinderellastory/index.html,Leigh Dunlap,2004,tt0356470,5.9,"65,702",rotten,103
62,"Kurt Russell, Patricia Clarkson, Noah Emmerich, Sean McCann",2 wins & 3 nominations.,"$64,329,473.00","Canada, USA",25 May 2004,Gavin O'Connor,"Biography, Drama, History",English,68,"Miracle tells the true story of Herb Brooks (Russell), the player-turned-coach who led the 1980 U.S. Olympic hockey team to victory over the seemingly invincible Russian squad.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyOTk1OTcyNV5BMl5BanBnXkFtZTYwNjMzNDU3._V1_SX300.jpg,Buena Vista Pictures,PG,06 Feb 2004,True,135 min,Miracle,movie,http://disney.go.com/disneypictures/miracle/home.html,Eric Guggenheim,2004,tt0349825,7.5,"37,645",certified,158
63,"Jamie Foxx, Kerry Washington, Regina King, Clifton Powell",Won 2 Oscars. Another 52 wins & 51 nominations.,"$75,236,415.00",USA,01 Feb 2005,Taylor Hackford,"Biography, Drama, Music",English,73,"The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxNDQwNjQzOV5BMl5BanBnXkFtZTcwNTQxNDYyMQ@@._V1_SX300.jpg,Universal Pictures,PG-13,29 Oct 2004,True,152 min,Ray,movie,http://www.raymovie.com/,"Taylor Hackford (story), James L. White (story), James L. White (screenplay)",2004,tt0350258,7.7,"114,021",certified,198
64,"Don Cheadle, Xolani Mali, Desmond Dube, Hakeem Kae-Kazim",Nominated for 3 Oscars. Another 16 wins & 42 nominations.,"$23,472,900.00","UK, South Africa, Italy",12 Apr 2005,Terry George,"Drama, History, War","English, French",79,Paul Rusesabagina was a hotel manager who housed over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI2MzQyNTc1M15BMl5BanBnXkFtZTYwMjExNjc3._V1_SX300.jpg,MGM,PG-13,04 Feb 2005,True,121 min,Hotel Rwanda,movie,http://www.hotelrwanda.com/,"Keir Pearson, Terry George",2004,tt0395169,8.1,"273,879",certified,189
65,"Robert De Niro, Ben Stiller, Dustin Hoffman, Barbra Streisand",2 wins & 6 nominations.,"$279,167,575.00",USA,26 Apr 2005,Jay Roach,"Comedy, Romance","English, Spanish, Hebrew",41,All hell breaks loose when the Byrnes family meets the Focker family for the first time.,https://images-na.ssl-images-amazon.com/images/M/MV5BYjRjYWE0YjktMGU5OS00YTdkLThlMjUtZjY0ZWM2ODRmN2Q5XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,Universal Pictures,PG-13,22 Dec 2004,True,115 min,Meet the Fockers,movie,http://www.meetthefockers.com/,"Greg Glienna (characters), Mary Ruth Clarke (characters), Jim Herzfeld (story), Marc Hyman (story), Jim Herzfeld (screenplay), John Hamburg (screenplay)",2004,tt0290002,6.3,"217,060",rotten,158
66,"Adam Sandler, Téa Leoni, Paz Vega, Cloris Leachman",Nominated for 1 Golden Globe. Another 5 wins & 12 nominations.,"$42,044,321.00",USA,05 Apr 2005,James L. Brooks,"Comedy, Drama, Romance","English, Spanish",48,"A woman and her daughter emigrate from Mexico for a better life in America, where they start working for a family where the patriarch is a newly celebrated chef with an insecure wife.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg2MjkwOTExMV5BMl5BanBnXkFtZTcwNTc4MzcyMQ@@._V1_SX300.jpg,Sony Pictures Entertainment,PG-13,17 Dec 2004,True,131 min,Spanglish,movie,http://www.spanglishmovie.com/,James L. Brooks,2004,tt0371246,6.4,"67,431",rotten,166
67,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"Johnny Depp, John Turturro, Maria Bello, Timothy Hutton",3 nominations.,"$47,781,388.00",USA,22 Jun 2004,David Koepp,"Mystery, Thriller",English,46,"A writer is accused of plagiarism by a strange man, who then starts haunting him for ""justice.""",https://images-na.ssl-images-amazon.com/images/M/MV5BNmI5MWNlMjYtZTAxNy00N2Q3LTkwZDgtMWRjOWQ1ZjJiN2Y4XkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_SX300.jpg,Columbia Pictures,PG-13,12 Mar 2004,True,96 min,Secret Window,movie,http://www.sonypictures.com/movies/secretwindow,"Stephen King (novel), David Koepp (screenplay)",2004,tt0363988,6.6,"151,449",rotten,160
69,"Stephen Chow, Xiaogang Feng, Wah Yuen, Zhi Hua Dong",Nominated for 1 Golden Globe. Another 21 wins & 40 nominations.,"$17,025,579.00","Hong Kong, China",09 Aug 2005,Stephen Chow,"Action, Comedy, Crime",Cantonese,78,"In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjQwNTMwODU0Ml5BMl5BanBnXkFtZTcwODkzNjgyMQ@@._V1_SX300.jpg,Sony Pictures Classics,R,22 Apr 2005,True,99 min,Kung Fu Hustle,movie,http://www.kungfuhustle.com/,"Stephen Chow, Kan-Cheung Tsang, Xin Huo, Man Keung Chan",2004,tt0373074,7.8,"102,359",certified,182
70,"Jeffrey Wright, Pablo Schreiber, Anthony Mackie, Dorian Missick",Nominated for 1 Golden Globe. Another 1 win & 11 nominations.,"$65,700,000.00",USA,21 Dec 2004,Jonathan Demme,"Drama, Mystery, Sci-Fi",English,76,"In the midst of the Gulf War, soldiers are kidnapped and brainwashed for sinister purposes.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTI3MTY2MTQxNV5BMl5BanBnXkFtZTcwNjk2NDYyMQ@@._V1_SX300.jpg,Paramount Pictures,R,30 Jul 2004,True,129 min,The Manchurian Candidate,movie,http://www.manchuriancandidate.com/,"Richard Condon (novel), George Axelrod, Daniel Pyne (screenplay), Dean Georgaris (screenplay)",2004,tt0368008,6.6,"88,480",certified,201
71,"Sarah Michelle Gellar, Jason Behr, William Mapother, Clea DuVall",2 wins & 10 nominations.,"$110,175,871.00","USA, Japan",01 Feb 2005,Takashi Shimizu,"Horror, Mystery, Thriller","English, Japanese",49,"An American nurse living and working in Tokyo is exposed to a mysterious supernatural curse, one that locks a person in a powerful rage before claiming their life and spreading to another victim.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjIxODg1Nzc3NF5BMl5BanBnXkFtZTcwMjM0MjEzMw@@._V1_SX300.jpg,Sony Pictures Entertainment,PG-13,22 Oct 2004,True,91 min,The Grudge,movie,http://www.sonypictures.com/movies/thegrudge/site/,"Stephen Susco (screenplay), Takashi Shimizu (film ""Ju-On: The Grudge"")",2004,tt0391198,5.9,"119,025",rotten,156
72,"Natalie Press, Emily Blunt, Paddy Considine, Dean Andrews",9 wins & 19 nominations.,"$859,409.00",UK,04 Oct 2005,Pawel Pawlikowski,"Drama, Romance",English,82,"In the Yorkshire countryside, working-class tomboy Mona meets the exotic, pampered Tamsin. Over the summer season, the two young women discover they have much to teach one another, and much to explore together.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg2NTM0NDY1NV5BMl5BanBnXkFtZTcwMjU5OTkyMQ@@._V1_SX300.jpg,Focus Features,R,01 Jul 2005,True,86 min,My Summer of Love,movie,http://www.mysummeroflovemovie.com/home.html,"Helen Cross (novel), Pawel Pawlikowski, Michael Wynne (collaborating writer)",2004,tt0382189,6.8,"16,773",certified,87
73,"Will Smith, Robert De Niro, Renée Zellweger, Jack Black",Nominated for 1 Oscar. Another 3 wins & 15 nominations.,"$160,762,022.00",USA,08 Feb 2005,"Bibo Bergeron, Vicky Jenson, Rob Letterman","Animation, Adventure, Comedy",English,48,"When a son of a gangster shark boss is accidentally killed while on the hunt, his would-be prey and his vegetarian brother both decide to use the incident to their own advantage.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxMjY0NzE2M15BMl5BanBnXkFtZTcwNTc3ODcyMw@@._V1_SX300.jpg,DreamWorks SKG,PG,01 Oct 2004,True,90 min,Shark Tale,movie,http://www.sharktale.com/,"Michael J. Wilson (screenplay), Rob Letterman (screenplay), Scott Aukerman (additional dialogue), Alec Berg (additional dialogue), Sean Bishop (additional dialogue), BJ Porter (additional dialogue), Jeff Schaffer (additional dialogue), Lona Williams (additional dialogue), David P. Smith (additional dialogue), David Soren (additional dialogue)",2004,tt0307453,6.0,"137,229",rotten,179
74,"Freddie Prinze Jr., Sarah Michelle Gellar, Matthew Lillard, Linda Cardellini",1 win & 2 nominations.,"$84,045,006.00","USA, Canada",14 Sep 2004,Raja Gosnell,"Adventure, Comedy, Family",English,34,"Mystery Inc. must save Coolsville from an attack of past unmasked monsters brought to life by an evil masked figure trying to ""unmask"" the gang.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzNzk3NTE1Ml5BMl5BanBnXkFtZTYwODM1MTU3._V1_SX300.jpg,Warner Bros. Pictures,PG,26 Mar 2004,True,93 min,Scooby-Doo 2: Monsters Unleashed,movie,http://www2.warnerbros.com/scoobydoo2/,"William Hanna (characters), Joseph Barbera (characters), James Gunn",2004,tt0331632,4.9,"34,699",rotten,115
75,"Trey Parker, Matt Stone, Kristen Miller, Masasa Moyo",1 win & 11 nominations.,"$32,700,000.00","USA, Germany",17 May 2005,Trey Parker,"Action, Comedy","English, French, Klingon, Korean, Arabic",64,"Popular Broadway actor Gary Johnston is recruited by the elite counter-terrorism organization Team America: World Police. As the world begins to crumble around him, he must battle with terrorists, celebrities and falling in love.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM2Nzc4NjYxMV5BMl5BanBnXkFtZTcwNTM1MTcyMQ@@._V1_SX300.jpg,Paramount Pictures,R,15 Oct 2004,True,98 min,Team America: World Police,movie,http://www.teamamericamovie.com/,"Trey Parker, Matt Stone, Pam Brady",2004,tt0372588,7.2,"139,101",certified,194
