,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,tomatoImage,tomatoReviews,totalSeasons
37,"Taylor Kitsch, Lynn Collins, Samantha Morton, Willem Dafoe",2 wins & 7 nominations.,"$73,058,679.00",USA,05 Jun 2012,Andrew Stanton,"Action, Adventure, Sci-Fi",English,51,"Transported to Barsoom, a Civil War vet discovers a barren planet seemingly inhabited by 12-foot tall barbarians. Finding himself prisoner of these creatures, he escapes, only to encounter Woola and a princess in desperate need of a savior.",https://images-na.ssl-images-amazon.com/images/M/MV5BNjkyOTI5MDA0Ml5BMl5BanBnXkFtZTcwOTU3NzExNw@@._V1_SX300.jpg,Walt Disney Pictures,PG-13,09 Mar 2012,True,132 min,John Carter,movie,http://www.johncarterarrives.com,"Andrew Stanton (screenplay), Mark Andrews (screenplay), Michael Chabon (screenplay), Edgar Rice Burroughs (based on the story ""A Princess of Mars"" by)",2012,tt0401729,6.6,"217,969",rotten,219,
38,"John C. Reilly, Sarah Silverman, Jack McBrayer, Jane Lynch",Nominated for 1 Oscar. Another 33 wins & 40 nominations.,"$189,412,677.00",USA,05 Mar 2013,Rich Moore,"Animation, Adventure, Comedy",English,72,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.",https://images-na.ssl-images-amazon.com/images/M/MV5BNzMxNTExOTkyMF5BMl5BanBnXkFtZTcwMzEyNDc0OA@@._V1_SX300.jpg,Walt Disney Pictures,PG,02 Nov 2012,True,101 min,Wreck-It Ralph,movie,http://disney.go.com/wreck-it-ralph/,"Rich Moore (story by), Phil Johnston (story by), Jim Reardon (story by), Phil Johnston (screenplay), Jennifer Lee (screenplay), John C. Reilly (additional story material by), Sam Levine (additional story material by), Jared Stern (additional story material by)",2012,tt1772341,7.8,"284,996",certified,170,
39,"Julianne Hough, Dakota Sage Grant, Matthew Rush Sullivan, Diego Boneta",1 win & 9 nominations.,"$38,509,342.00",USA,09 Oct 2012,Adam Shankman,"Comedy, Drama, Musical",English,47,"A small town girl and a city boy meet on the Sunset Strip, while pursuing their Hollywood dreams.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg2NDQyODAzNF5BMl5BanBnXkFtZTcwMTg5MDA3Nw@@._V1_SX300.jpg,New Line Cinema,PG-13,15 Jun 2012,True,123 min,Rock of Ages,movie,http://rockofagesmovie.warnerbros.com/,"Justin Theroux (screenplay), Chris D'Arienzo (screenplay), Allan Loeb (screenplay), Chris D'Arienzo (musical book)",2012,tt1336608,5.9,"63,629",rotten,218,
40,"Reese Witherspoon, Chris Pine, Tom Hardy, Til Schweiger",1 win & 5 nominations.,"$54,758,461.00",USA,22 May 2012,McG,"Action, Comedy, Romance","English, German, Japanese, Serbian",31,Two top CIA operatives wage an epic battle against one another after they discover they are dating the same woman.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYyOTQ4MDE2MV5BMl5BanBnXkFtZTcwOTE0MTgwNw@@._V1_SX300.jpg,Twentieth Century Fox,PG-13,17 Feb 2012,True,103 min,This Means War,movie,http://www.thismeanswarmovie.com/,"Timothy Dowling (screenplay), Simon Kinberg (screenplay), Timothy Dowling (story), Marcus Gautesen (story)",2012,tt1596350,6.3,"151,569",rotten,170,
41,"Karl Urban, Rachel Wood, Andile Mngadi, Porteus Xandau",2 wins & 14 nominations.,"$13,401,683.00","UK, USA, India, South Africa",08 Jan 2013,Pete Travis,"Action, Sci-Fi",English,59,"In a violent, futuristic city where the police have the authority to act as judge, jury and executioner, a cop teams with a trainee to take down a gang that deals the reality-altering drug, SLO-MO.",https://images-na.ssl-images-amazon.com/images/M/MV5BODkyNDQzMzUzOF5BMl5BanBnXkFtZTcwODYyMDEyOA@@._V1_SX300.jpg,Lionsgate Films,R,21 Sep 2012,True,95 min,Dredd,movie,http://www.dreddthemovie.com/,"John Wagner (characters), Carlos Ezquerra (characters), Alex Garland (screenplay)",2012,tt1343727,7.1,"210,439",certified,150,
42,"Will Smith, Tommy Lee Jones, Josh Brolin, Jemaine Clement",1 win & 11 nominations.,"$179,020,854.00",USA,30 Nov 2012,Barry Sonnenfeld,"Action, Adventure, Comedy","English, Ukrainian",58,Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2NTYxODcwMF5BMl5BanBnXkFtZTcwNDk1NDY0Nw@@._V1_SX300.jpg,Sony Pictures,PG-13,25 May 2012,True,106 min,Men in Black 3,movie,http://www.meninblack.com/,"Etan Cohen, Lowell Cunningham (based on the Malibu comic by)",2012,tt1409024,6.8,"275,094",fresh,234,
43,"Joaquin Phoenix, Price Carson, Mike Howard, Sarah Shoshana David",Nominated for 3 Oscars. Another 76 wins & 179 nominations.,"$15,800,000.00",USA,26 Feb 2013,Paul Thomas Anderson,Drama,English,86,A Naval veteran arrives home from war unsettled and uncertain of his future - until he is tantalized by The Cause and its charismatic leader.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2NjQ5MzMwMF5BMl5BanBnXkFtZTcwMjczNTAzOA@@._V1_SX300.jpg,The Weinstein Company,R,21 Sep 2012,True,144 min,The Master,movie,http://www.themasterfilm.com/,Paul Thomas Anderson,2012,tt1560747,7.1,"110,712",certified,228,
44,"Zac Efron, Taylor Schilling, Blythe Danner, Riley Thomas Stewart",5 wins & 7 nominations.,"$60,443,237.00",USA,28 Aug 2012,Scott Hicks,"Drama, Romance",English,39,A Marine travels to Louisiana after serving three tours in Iraq and searches for the unknown woman he believes was his good luck charm during the war.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5NDk3MjAzMF5BMl5BanBnXkFtZTcwMjUyNzExNw@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,20 Apr 2012,True,101 min,The Lucky One,movie,http://theluckyonemovie.warnerbros.com/index.html,"Will Fetters (screenplay), Nicholas Sparks (novel)",2012,tt1327194,6.5,"81,371",rotten,141,
45,"Nadine Velazquez, Denzel Washington, Carter Cabassa, Adam C. Edwards",Nominated for 2 Oscars. Another 16 wins & 41 nominations.,"$89,400,000.00",USA,05 Feb 2013,Robert Zemeckis,"Drama, Thriller",English,76,"An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxMjI1OTMxNl5BMl5BanBnXkFtZTcwNjc3NTY1OA@@._V1_SX300.jpg,Paramount Pictures,R,02 Nov 2012,True,138 min,Flight,movie,http://www.paramount.com/flight/,John Gatins,2012,tt1907668,7.3,"272,290",certified,223,
46,"Kelly Macdonald, Billy Connolly, Emma Thompson, Julie Walters",Won 1 Oscar. Another 18 wins & 47 nominations.,"$237,282,182.00",USA,13 Nov 2012,"Mark Andrews, Brenda Chapman, Steve Purcell","Animation, Adventure, Comedy",English,69,"Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse.",https://images-na.ssl-images-amazon.com/images/M/MV5BMzgwODk3ODA1NF5BMl5BanBnXkFtZTcwNjU3NjQ0Nw@@._V1_SX300.jpg,Walt Disney Pictures,PG,22 Jun 2012,True,93 min,Brave,movie,http://disney.go.com/brave/?cmp=wdsmp_brv_url_dcombrave,"Brenda Chapman (story by), Mark Andrews (screenplay), Steve Purcell (screenplay), Brenda Chapman (screenplay), Irene Mecchi (screenplay)",2012,tt1217209,7.2,"286,347",certified,229,
47,"Johnny Depp, Michelle Pfeiffer, Helena Bonham Carter, Eva Green",2 wins & 12 nominations.,"$79,711,678.00","USA, Australia",02 Oct 2012,Tim Burton,"Comedy, Fantasy, Horror",English,55,"An imprisoned vampire, Barnabas Collins, is set free and returns to his ancestral home, where his dysfunctional descendants are in need of his protection.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjc0NzAyMzI1MF5BMl5BanBnXkFtZTcwMTE0NDQ1Nw@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,11 May 2012,True,113 min,Dark Shadows,movie,http://darkshadowsmovie.warnerbros.com/,"Seth Grahame-Smith (screenplay), John August (story), Seth Grahame-Smith (story), Dan Curtis (television series)",2012,tt1077368,6.2,"206,142",rotten,233,
48,"Jake Gyllenhaal, Michael Peña, Natalie Martinez, Anna Kendrick",3 wins & 10 nominations.,"$39,100,000.00",USA,22 Jan 2013,David Ayer,"Crime, Drama, Thriller","English, Spanish",68,"Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjMxNjU0ODU5Ml5BMl5BanBnXkFtZTcwNjI4MzAyOA@@._V1_SX300.jpg,Open Road Films,R,21 Sep 2012,True,109 min,End of Watch,movie,http://www.endofwatchthefilm.com/,David Ayer,2012,tt1855199,7.7,"189,086",certified,171,
49,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Ronny Cox",Nominated for 2 Oscars. Another 7 wins & 13 nominations.,N/A,USA,29 Aug 2000,Paul Verhoeven,"Action, Sci-Fi, Thriller",English,57,"When a man goes for virtual vacation memories of the planet Mars, an unexpected and harrowing series of events forces him to go to the planet for real - or does he?",https://images-na.ssl-images-amazon.com/images/M/MV5BYzU1YmJjMGEtMjY4Yy00MTFlLWE3NTUtNzI3YjkwZTMxZjZmXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_SX300.jpg,Rialto Pictures,R,01 Jun 1990,True,113 min,Total Recall,movie,http://www.rialtopictures.com/recall.html,"Philip K. Dick (short story ""We Can Remember It For You Wholesale""), Ronald Shusett (screen story), Dan O'Bannon (screen story), Jon Povill (screen story), Ronald Shusett (screenplay), Dan O'Bannon (screenplay), Gary Goldman (screenplay)",1990,tt0100802,7.5,"248,548",certified,67,
50,"Taylor Kitsch, Alexander Skarsgård, Rihanna, Brooklyn Decker",4 wins & 15 nominations.,"$65,173,160.00",USA,28 Aug 2012,Peter Berg,"Action, Adventure, Sci-Fi","English, Japanese",41,A fleet of ships is forced to do battle with an armada of unknown origins in order to discover and thwart their destructive goals.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI5NTM5MDA2N15BMl5BanBnXkFtZTcwNjkwMzQxNw@@._V1_SX300.jpg,Universal,PG-13,18 May 2012,True,131 min,Battleship,movie,http://www.battleshipmovie.com/,"Jon Hoeber, Erich Hoeber",2012,tt1440129,5.8,"208,139",rotten,212,
51,"Adam Sandler, Andy Samberg, Leighton Meester, Vanilla Ice",5 wins & 10 nominations.,"$36,900,000.00",USA,16 Oct 2012,Sean Anders,Comedy,English,31,"While in his teens, Donny fathered a son, Todd, and raised him as a single parent up until Todd's 18th birthday. Now, after not seeing each other for years, Todd's world comes crashing down when Donny resurfaces just before Todd's wedding.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM3NDMyNzgzMV5BMl5BanBnXkFtZTcwMjIyMTA1Nw@@._V1_SX300.jpg,Sony Pictures,R,15 Jun 2012,True,116 min,That's My Boy,movie,http://thatsmyboy-movie.com/,David Caspe,2012,tt1232200,5.6,"72,909",rotten,113,
52,"Britt Robertson, Dylan O'Brien, Craig Roberts, Joshua Malina",1 nomination.,"$17,061.00",USA,12 Mar 2013,Jon Kasdan,"Comedy, Drama, Romance",English,55,A shy senior and a down-to-earth junior fall in love over one weekend.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjMxNDI1OTY5NF5BMl5BanBnXkFtZTcwMDExOTY1OA@@._V1_SX300.jpg,Samuel Goldwyn Films,PG-13,07 Feb 2013,True,95 min,The First Time,movie,http://www.sonypictures.com/homevideo/thefirsttime/,Jon Kasdan,2012,tt1763303,6.9,"52,619",rotten,17,
53,"Rachel McAdams, Channing Tatum, Jessica Lange, Sam Neill",3 wins & 14 nominations.,"$125,014,030.00","USA, France, Australia, UK, Germany, Canada",08 May 2012,Michael Sucsy,"Drama, Romance",English,43,"A car accident puts Paige in a coma, and when she wakes up with severe memory loss, her husband Leo works to win her heart again.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE1OTU5MjU0N15BMl5BanBnXkFtZTcwMzI3OTU5Ng@@._V1_SX300.jpg,Sony Pictures,PG-13,10 Feb 2012,True,104 min,The Vow,movie,http://www.thevow-movie.com/,"Abby Kohn (screenplay), Marc Silverstein (screenplay), Jason Katims (screenplay), Stuart Sender (story)",2012,tt1606389,6.8,"153,723",rotten,126,
54,"Blake Lively, Taylor Kitsch, Aaron Taylor-Johnson, Jana Banker",6 nominations.,"$47,300,000.00",USA,13 Nov 2012,Oliver Stone,"Crime, Drama, Thriller",English,59,Pot growers Ben and Chon face off against the Mexican drug cartel who kidnapped their shared girlfriend.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk0ODIyNDAyMF5BMl5BanBnXkFtZTcwMTQ5Nzg3Nw@@._V1_SX300.jpg,Universal Pictures,R,06 Jul 2012,True,131 min,Savages,movie,http://www.savagesfilm.com/,"Shane Salerno (screenplay), Don Winslow (screenplay), Oliver Stone (screenplay), Don Winslow (novel)",2012,tt1615065,6.5,"106,745",rotten,185,
55,"Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser",1 win & 2 nominations.,"$139,852,115.00",France,15 Jan 2013,Olivier Megaton,"Action, Crime, Thriller","English, Turkish, Arabic",45,"In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTkwNTQ0ODExOV5BMl5BanBnXkFtZTcwNjU3NDQwOA@@._V1_SX300.jpg,20th Century Fox,PG-13,05 Oct 2012,True,92 min,Taken 2,movie,http://www.takenmovie.com/,"Luc Besson, Robert Mark Kamen, Luc Besson (based on characters created by), Robert Mark Kamen (based on characters created by)",2012,tt1397280,6.3,"246,076",rotten,165,
56,"Sacha Baron Cohen, Sayed Badreya, Rocky Citron, Liam Campora",1 win & 1 nomination.,"$57,700,000.00",USA,21 Aug 2012,Larry Charles,Comedy,"English, Hebrew, Arabic",58,The heroic story of a dictator who risked his life to ensure that democracy would never come to the country he so lovingly oppressed.,https://images-na.ssl-images-amazon.com/images/M/MV5BNTlkOWYzZDYtNzQ1MS00YTNkLTkyYTItMjBmNjgyMDBlMjI4XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,Paramount Pictures,R,16 May 2012,True,83 min,The Dictator,movie,http://www.republicofwadiya.com,"Sacha Baron Cohen, Alec Berg, David Mandel, Jeff Schaffer",2012,tt1645170,6.4,"222,559",rotten,212,
57,"Thomas Mann, Oliver Cooper, Jonathan Daniel Brown, Dax Flame",4 nominations.,"$53,400,000.00",USA,19 Jun 2012,Nima Nourizadeh,Comedy,English,48,"3 high school seniors throw a birthday party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTc1MTk0Njg4OF5BMl5BanBnXkFtZTcwODc0ODkyNw@@._V1_SX300.jpg,Warner Bros. Pictures,R,02 Mar 2012,True,88 min,Project X,movie,http://projectxmovie.warnerbros.com/,"Matt Drake (screenplay), Michael Bacall (screenplay), Michael Bacall (story)",2012,tt1636826,6.7,"162,084",rotten,132,
58,"Dane DeHaan, Alex Russell, Michael B. Jordan, Michael Kelly",2 wins & 6 nominations.,"$60,800,000.00",USA,15 May 2012,Josh Trank,"Sci-Fi, Thriller",English,69,"Whilst attending a party, three high school friends gain superpowers after making an incredible discovery underground. Soon, though, they find their lives spinning out of control and their bond tested as they embrace their darker sides.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzMjYzMDQ0MV5BMl5BanBnXkFtZTcwNzE1OTM5Ng@@._V1_SX300.jpg,20th Century Fox,PG-13,03 Feb 2012,True,84 min,Chronicle,movie,http://www.facebook.com/Chronicle,"Max Landis (screenplay), Max Landis (story), Josh Trank (story)",2012,tt1706593,7.1,"210,677",certified,168,
59,"Michael Pitt, Michael Stuhlbarg, Sam Rockwell, Colin Farrell",3 wins & 21 nominations.,"$15,000,000.00",UK,29 Jan 2013,Martin McDonagh,"Comedy, Crime","English, Vietnamese",66,A struggling screenwriter inadvertently becomes entangled in the Los Angeles criminal underworld after his oddball friends kidnap a gangster's beloved Shih Tzu.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTgwMzUxMjc0M15BMl5BanBnXkFtZTcwMzQ2MjYyOA@@._V1_SX300.jpg,CBS Films,R,12 Oct 2012,True,110 min,Seven Psychopaths,movie,http://www.sevenpsychopaths.com/,Martin McDonagh,2012,tt1931533,7.2,"192,401",certified,202,
60,"Marion Cotillard, Matthias Schoenaerts, Armand Verdure, Céline Sallette",Nominated for 2 Golden Globes. Another 32 wins & 68 nominations.,"$1,900,000.00","France, Belgium",19 Mar 2013,Jacques Audiard,"Drama, Romance","French, English",73,"Put in charge of his young son, Alain leaves Belgium for Antibes to live with his sister and her husband as a family. Alain's bond with Stephanie, a killer whale trainer, grows deeper after Stephanie suffers a horrible accident.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTczMTU4NDUyMl5BMl5BanBnXkFtZTcwOTM5NDY0OA@@._V1_SX300.jpg,Sony Pictures Classics,R,17 May 2012,True,120 min,Rust and Bone,movie,http://www.sonyclassics.com/rustandbone/,"Jacques Audiard (screenplay), Thomas Bidegain (screenplay), Craig Davidson (story)",2012,tt2053425,7.5,"50,806",certified,157,
61,"Paul Rudd, Leslie Mann, Maude Apatow, Iris Apatow",2 wins & 10 nominations.,"$65,200,000.00",USA,22 Mar 2013,Judd Apatow,"Comedy, Romance",English,59,"Pete and Debbie are both about to turn 40, their kids hate each other, both of their businesses are failing, they're on the verge of losing their house, and their relationship is threatening to fall apart.",https://images-na.ssl-images-amazon.com/images/M/MV5BNzQxMDQ1NjA4N15BMl5BanBnXkFtZTcwNTE5MjQ3OA@@._V1_SX300.jpg,Universal Studios,R,21 Dec 2012,True,134 min,This Is 40,movie,http://www.thisis40movie.com/,"Judd Apatow, Judd Apatow (based on characters created by)",2012,tt1758830,6.2,"106,883",rotten,211,
62,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren",3 wins & 5 nominations.,"$85,017,401.00",USA,20 Nov 2012,Simon West,"Action, Adventure, Thriller",English,51,"Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzODkwNDQxNV5BMl5BanBnXkFtZTcwNTQ1ODAxOA@@._V1_SX300.jpg,Lionsgate,R,17 Aug 2012,True,103 min,The Expendables 2,movie,http://theexpendables2film.com/,"Richard Wenk (screenplay), Sylvester Stallone (screenplay), Ken Kaufman (story), David Agosto (story), Richard Wenk (story), Dave Callaham (characters)",2012,tt1764651,6.6,"253,996",fresh,126,
63,"Matthew McConaughey, Reese Witherspoon, Tye Sheridan, Jacob Lofland",11 wins & 34 nominations.,"$21,589,307.00",USA,06 Aug 2013,Jeff Nichols,Drama,English,76,Two young boys encounter a fugitive and form a pact to help him evade the vigilantes that are on his trail and to reunite him with his true love.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2MzcyODgyNV5BMl5BanBnXkFtZTcwNTc4MDYwOQ@@._V1_SX300.jpg,Lionsgate/Roadside Attractions,PG-13,10 May 2013,True,130 min,Mud,movie,http://mud-themovie.com/,Jeff Nichols,2012,tt1935179,7.4,"141,025",certified,171,
64,"Jason Biggs, Alyson Hannigan, Chris Klein, Thomas Ian Nicholas",1 win & 3 nominations.,"$55,300,000.00",USA,10 Jul 2012,"Jon Hurwitz, Hayden Schlossberg",Comedy,English,49,"Jim, Michelle, Stifler, and their friends reunite in East Great Falls, Michigan for their high school reunion.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY4MTEyMzU1N15BMl5BanBnXkFtZTcwNDQ0NTc1Nw@@._V1_SX300.jpg,Universal Studios,R,06 Apr 2012,True,113 min,American Reunion,movie,http://www.americanreunionmovie.com,"Jon Hurwitz (screenplay), Hayden Schlossberg (screenplay), Adam Herz (characters)",2012,tt1605630,6.7,"176,610",rotten,170,
65,"Zachary Gordon, Steve Zahn, Robert Capron, Devon Bostick",2 wins & 7 nominations.,"$49,002,815.00","USA, Canada",18 Dec 2012,David Bowers,"Comedy, Family",English,54,"School's out. Summer vacation is on. However, Greg may not have the best summer vacation ever. What could go wrong?",https://images-na.ssl-images-amazon.com/images/M/MV5BMTc2MTk4MTk4Nl5BMl5BanBnXkFtZTcwMzgzOTY2Nw@@._V1_SX300.jpg,20th Century Fox,PG,03 Aug 2012,True,94 min,Diary of a Wimpy Kid: Dog Days,movie,http://www.diaryofawimpykidmovie.com/,"Maya Forbes (screenplay), Wallace Wolodarsky (screenplay), Jeff Kinney (based upon the book by)",2012,tt2023453,6.4,"16,400",rotten,71,
66,"Cameron Diaz, Jennifer Lopez, Elizabeth Banks, Chace Crawford",12 nominations.,"$41,102,171.00",USA,11 Sep 2012,Kirk Jones,"Comedy, Drama, Romance",English,41,"Follows the lives of five interconnected couples as they experience the thrills and surprises of having a baby, and realize that no matter what you plan for, life does not always deliver what is expected.",https://images-na.ssl-images-amazon.com/images/M/MV5BODYzNjI0ODUzNF5BMl5BanBnXkFtZTcwNTI1MjQ2Nw@@._V1_SX300.jpg,Lionsgate Films,PG-13,18 May 2012,True,110 min,What to Expect When You're Expecting,movie,http://whattoexpectthefilm.com/index.html,"Shauna Cross (screenplay), Heather Hach (screenplay), Heidi Murkoff (books)",2012,tt1586265,5.7,"59,055",rotten,132,
67,"Chris Pine, Alec Baldwin, Jude Law, Isla Fisher",Nominated for 1 Golden Globe. Another 14 wins & 30 nominations.,"$98,800,000.00",USA,12 Mar 2013,Peter Ramsey,"Animation, Adventure, Family","English, French",57,"When the evil spirit Pitch launches an assault on Earth, the Immortal Guardians team up to protect the innocence of children all around the world.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzMjgwMDg1M15BMl5BanBnXkFtZTcwMTgzNTI1OA@@._V1_SX300.jpg,Paramount Studios,PG,21 Nov 2012,True,97 min,Rise of the Guardians,movie,http://www.riseoftheguardians.com/,"David Lindsay-Abaire (screenplay), William Joyce (book)",2012,tt1446192,7.3,"128,690",certified,147,
68,"Sam Riley, Garrett Hedlund, Kristen Stewart, Amy Adams",2 wins & 4 nominations.,"$665,094.00","France, USA, UK, Brazil, Canada, Argentina",06 Aug 2013,Walter Salles,"Adventure, Drama, Romance","English, French",56,"Young writer Sal Paradise has his life shaken by the arrival of free-spirited Dean Moriarty and his girl, Marylou. As they travel across the country, they encounter a mix of people who each impact their journey indelibly.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTc1MzU5MDgzMF5BMl5BanBnXkFtZTcwMDQ4ODY2OA@@._V1_SX300.jpg,IFC Films/Sundance Selects,R,23 May 2012,True,124 min,On the Road,movie,http://themadones.us/,"Jack Kerouac (based on the novel by), Jose Rivera (screenplay), Harold Manning (french adaptation)",2012,tt0337692,6.1,"34,097",rotten,141,
69,"Adam Sandler, Andy Samberg, Selena Gomez, Kevin James",Nominated for 1 Golden Globe. Another 2 wins & 14 nominations.,"$148,280,635.00",USA,29 Jan 2013,Genndy Tartakovsky,"Animation, Comedy, Family",English,47,"Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teen-aged daughter.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM3NjQyODI3M15BMl5BanBnXkFtZTcwMDM4NjM0OA@@._V1_SX300.jpg,Sony Pictures,PG,28 Sep 2012,True,91 min,Hotel Transylvania,movie,http://www.welcometohotelt.com/,"Peter Baynham (screenplay), Robert Smigel (screenplay), Todd Durham (story), Dan Hageman (story), Kevin Hageman (story)",2012,tt0837562,7.1,"173,296",rotten,141,
70,"Ben Affleck, Olga Kurylenko, Rachel McAdams, Javier Bardem",5 wins & 9 nominations.,"$500,000.00",USA,06 Aug 2013,Terrence Malick,"Drama, Romance","English, French, Spanish, Italian, Sign Languages, Russian",58,"After falling in love in Paris, Marina and Neil come to Oklahoma, where problems arise. Their church's Spanish-born pastor struggles with his faith, while Neil encounters a woman from his childhood.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTAwNzk1NjM2ODZeQTJeQWpwZ15BbWU3MDE1MjQwMjk@._V1_SX300.jpg,Magnolia Pictures,R,22 Feb 2013,True,112 min,To the Wonder,movie,http://www.magpictures.com/tothewonder/,Terrence Malick,2012,tt1595656,5.9,"22,008",rotten,159,
71,"Greg Kinnear, Jennifer Connelly, Lily Collins, Nat Wolff",1 win.,"$100,000.00",USA,08 Oct 2013,Josh Boone,"Comedy, Drama, Romance",English,49,"An acclaimed writer, his ex-wife, and their teenaged children come to terms with the complexities of love in all its forms over the course of one tumultuous year.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU1NzI5MDU3OV5BMl5BanBnXkFtZTcwNTE0NDMzOQ@@._V1_SX300.jpg,Millenium Entertainment,R,02 May 2013,True,97 min,Stuck in Love,movie,http://stuckinlovemovie.com/,Josh Boone,2012,tt2205697,7.3,"68,470",rotten,41,
72,"Danny DeVito, Ed Helms, Zac Efron, Taylor Swift",3 wins & 8 nominations.,"$213,949,505.00","USA, France",07 Aug 2012,"Chris Renaud, Kyle Balda","Animation, Adventure, Comedy",English,46,"A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU1MTAwMjk1NF5BMl5BanBnXkFtZTcwMDI5NDc4Ng@@._V1_SX300.jpg,Universal Pictures,PG,02 Mar 2012,True,86 min,The Lorax,movie,http://www.theloraxmovie.com,"Dr. Seuss (based on the book by), Cinco Paul (screenplay), Ken Daurio (screenplay)",2012,tt1482459,6.5,"80,773",rotten,148,
73,"Brittany Snow, Jeffrey Combs, Jonny Coyne, Lawrence Gilliard Jr.",1 nomination.,N/A,USA,09 Jul 2013,David Guy Levy,Horror,English,20,"Desperate to help her ailing brother, a young woman unknowingly agrees to compete in a deadly game of ""Would You Rather,"" hosted by a sadistic aristocrat.",https://images-na.ssl-images-amazon.com/images/M/MV5BNTI1ODY3MTQwNl5BMl5BanBnXkFtZTcwMjU5MjMxOQ@@._V1_SX300.jpg,IFC Films,NOT RATED,14 Oct 2012,True,93 min,Would You Rather,movie,N/A,Steffen Schlachtenhaufen,2012,tt1999995,5.8,"24,913",rotten,21,
74,"Brad Pitt, Scoot McNairy, Ben Mendelsohn, James Gandolfini",3 wins & 8 nominations.,"$14,900,000.00",USA,26 Mar 2013,Andrew Dominik,"Crime, Thriller",English,64,"Jackie Cogan is an enforcer hired to restore order after three dumb guys rob a Mob protected card game, causing the local criminal economy to collapse.",https://images-na.ssl-images-amazon.com/images/M/MV5BODk3MDg2NDk5M15BMl5BanBnXkFtZTcwMjcxMjMzOA@@._V1_SX300.jpg,The Weinstein Co.,R,30 Nov 2012,True,97 min,Killing Them Softly,movie,http://killingthemsoftlymovie.com/,"Andrew Dominik (screenplay), George V. Higgins (based on the novel ""Cogan's Trade"" by)",2012,tt1764234,6.2,"114,677",certified,216,
