,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,tomatoImage,tomatoReviews,totalSeasons
10,"Luke Wilson, Will Ferrell, Vince Vaughn, Jeremy Piven",5 nominations.,"$74,608,545.00",USA,10 Jun 2003,Todd Phillips,Comedy,English,54,Three friends attempt to recapture their glory days by opening up a fraternity near their alma mater.,https://images-na.ssl-images-amazon.com/images/M/MV5BYzI4NDIzMDgtNGNkZi00MTI2LWJhYzgtYzM5NThhMTQ0OGIzXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,DreamWorks SKG,R,21 Feb 2003,True,88 min,Old School,movie,http://www.oldschool-themovie.com/,"Court Crandall (story), Todd Phillips (story), Scot Armstrong (story), Todd Phillips (screenplay), Scot Armstrong (screenplay)",2003,tt0302886,7.2,"189,628",fresh,167,
11,"Charlize Theron, Christina Ricci, Bruce Dern, Lee Tergesen",Won 1 Oscar. Another 26 wins & 23 nominations.,"$34,187,787.00","Germany, USA",01 Jun 2004,Patty Jenkins,"Biography, Crime, Drama",English,74,"Based on the life of Aileen Wuornos, a Daytona Beach prostitute who became a serial killer.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTI4NzI5NzEwNl5BMl5BanBnXkFtZTcwNjc1NjQyMQ@@._V1_SX300.jpg,Newmarket Film Group,R,30 Jan 2004,True,109 min,Monster,movie,http://www.monsterfilm.com/,Patty Jenkins,2003,tt0340855,7.3,"109,004",certified,184,
12,"Ray Anthony, Christine Anu, Andy Arness, Alima Ashton-Sheibu",7 wins & 25 nominations.,"$281,500,000.00","USA, Australia",14 Oct 2003,"Lana Wachowski, Lilly Wachowski","Action, Sci-Fi","English, French",62,"Neo and the rebel leaders estimate that they have 72 hours until 250,000 probes discover Zion and destroy it and its inhabitants. During this, Neo must decide how he can save Trinity from a dark fate in his dreams.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0NDM5MDY2OF5BMl5BanBnXkFtZTcwNzg5OTEzMw@@._V1_SX300.jpg,Warner Bros. Pictures,R,15 May 2003,True,138 min,The Matrix Reloaded,movie,http://whatisthematrix.warnerbros.com/,"Lilly Wachowski, Lana Wachowski, Lilly Wachowski (characters), Lana Wachowski (characters)",2003,tt0234215,7.2,"434,549",certified,240,
13,"Bryan Brown, Brian Dennehy, Rachel Ticotin, Joanna Gleason",N/A,N/A,USA,13 Jun 2000,Richard Franklin,"Action, Thriller",English,48,"F/X man Rollie Tyler (Bryan Brown) is now a toy maker. Mike Brandon (Tom Mason), the ex-husband of Rolly's girlfriend Kim(Rachel Ticotin), is a cop. He asks Rollie to help catch a killer. ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA2MzAxODMwOF5BMl5BanBnXkFtZTcwNDY1MDY2NA@@._V1_SX300.jpg,Orion Home Video,PG-13,10 May 1991,True,108 min,F/X2,movie,N/A,"Robert T. Megginson (characters), Gregory Fleeman (characters), Bill Condon",1991,tt0101846,5.7,"6,999",rotten,15,
14,"Ewan McGregor, Albert Finney, Billy Crudup, Jessica Lange",Nominated for 1 Oscar. Another 1 win & 65 nominations.,"$66,257,002.00",USA,27 Apr 2004,Tim Burton,"Adventure, Drama, Fantasy","English, Cantonese",58,A frustrated son tries to determine the fact from fiction in his dying father's life.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYyMzM3MzgyNV5BMl5BanBnXkFtZTcwMTI4MzUyMQ@@._V1_SX300.jpg,Sony Pictures,PG-13,09 Jan 2004,True,125 min,Big Fish,movie,http://www.sonypictures.com/movies/bigfish/index.html,"Daniel Wallace (novel), John August (screenplay)",2003,tt0319061,8.0,"360,661",certified,214,
15,"Tommy Wiseau, Juliette Danielle, Greg Sestero, Philip Haldiman",1 win.,N/A,USA,17 Dec 2005,Tommy Wiseau,Drama,English,N/A,"Johnny is a successful banker who lives happily in a San Francisco townhouse with his fiancée, Lisa. One day, inexplicably, she gets bored of him and decides to seduce Johnny's best friend, Mark. From there, nothing will be the same again.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4MTU1MzgwOV5BMl5BanBnXkFtZTcwNjM1MTAwMQ@@._V1_SX300.jpg,Chloe Productions,R,03 Mar 2004,True,99 min,The Room,movie,http://theroommovie.com/,Tommy Wiseau,2003,tt0368226,3.5,"32,507",rotten,22,
16,"Michael Pitt, Eva Green, Louis Garrel, Anna Chancellor",2 wins & 9 nominations.,"$2,299,636.00","UK, France, Italy",13 Jul 2004,Bernardo Bertolucci,"Drama, Romance","English, French",62,A young American studying in Paris in 1968 strikes up a friendship with a French brother and sister. Set against the background of the '68 Paris student riots.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4MDU3ODM3OV5BMl5BanBnXkFtZTYwMDE0Njc2._V1_SX300.jpg,Fox Searchlight Pictures,NC-17,20 Feb 2004,True,115 min,The Dreamers,movie,http://www2.foxsearchlight.com/thedreamers,"Gilbert Adair (screenplay), Gilbert Adair (based on the novel)",2003,tt0309987,7.2,"85,543",fresh,156,
17,"Scarlett Johansson, Bill Murray, Akiko Takeshita, Kazuyoshi Minamimagoe",Won 1 Oscar. Another 93 wins & 118 nominations.,"$44,566,004.00","USA, Japan",03 Feb 2004,Sofia Coppola,Drama,"English, Japanese, German, French",89,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI2NDI5ODk4N15BMl5BanBnXkFtZTYwMTI3NTE3._V1_SX300.jpg,Focus Features,R,03 Oct 2003,True,101 min,Lost in Translation,movie,http://www.focusfeatures.com/index.php,Sofia Coppola,2003,tt0335266,7.8,"333,033",certified,223,
18,"Jude Law, Nicole Kidman, Renée Zellweger, Eileen Atkins",Won 1 Oscar. Another 17 wins & 92 nominations.,N/A,"UK, Italy, Romania, USA",29 Jun 2004,Anthony Minghella,"Adventure, Drama, History",English,73,"In the waning days of the American Civil War, a wounded soldier embarks on a perilous journey back home to Cold Mountain, North Carolina to reunite with his sweetheart.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3NTc5NzcyOF5BMl5BanBnXkFtZTcwMDM0NjQyMQ@@._V1_SX300.jpg,Miramax Films,R,25 Dec 2003,True,154 min,Cold Mountain,movie,http://www.miramax.com/cold_mountain/,"Charles Frazier (book), Anthony Minghella (screenplay)",2003,tt0159365,7.2,"121,080",fresh,223,
19,"John Cusack, Ray Liotta, Amanda Peet, John Hawkes",1 win & 8 nominations.,"$51,475,962.00",USA,06 Sep 2005,James Mangold,"Mystery, Thriller",English,64,"Stranded at a desolate Nevada motel during a nasty rain-storm, ten strangers become acquainted with each other when they realize that they're being killed off one by one.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2NzgyNDYzNl5BMl5BanBnXkFtZTYwODM2Nzc2._V1_SX300.jpg,Columbia Pictures,R,25 Apr 2003,True,90 min,Identity,movie,http://www.sonypictures.com/movies/identity,Michael Cooney,2003,tt0309698,7.3,"183,676",fresh,170,
20,"Mary Alice, Tanveer K. Atwal, Helmut Bakaitis, Kate Beahan",2 wins & 23 nominations.,"$139,076,032.00","Australia, USA",06 Apr 2004,"Lana Wachowski, Lilly Wachowski","Action, Sci-Fi","English, French",47,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1MjM3NTE1Ml5BMl5BanBnXkFtZTYwODM4MDg3._V1_SX300.jpg,Warner Bros. Pictures,R,05 Nov 2003,True,129 min,The Matrix Revolutions,movie,http://whatisthematrix.warnerbros.com/,"Lilly Wachowski, Lana Wachowski, Lilly Wachowski (characters), Lana Wachowski (characters)",2003,tt0242653,6.7,"374,707",rotten,211,
21,"Nikki Reed, Evan Rachel Wood, Vanessa Hudgens, Holly Hunter",Nominated for 1 Oscar. Another 14 wins & 45 nominations.,"$4,500,238.00",USA,27 Jan 2004,Catherine Hardwicke,Drama,"English, Spanish, Portuguese",70,"A thirteen-year-old girl's relationship with her mother is put to the test as she discovers drugs, sex, and petty crime in the company of her cool but troubled best friend.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTk0OTk5MzU3NF5BMl5BanBnXkFtZTcwOTQwNDAwMQ@@._V1_SX300.jpg,Fox Searchlight Pictures,R,19 Sep 2003,True,100 min,Thirteen,movie,http://www.apple.com/trailers/fox_searchlight/thirteen/,"Catherine Hardwicke, Nikki Reed",2003,tt0328538,6.8,"69,951",certified,150,
22,"Charlie Cox, Deborah Ann Woll, Elden Henson, Vincent D'Onofrio",Nominated for 5 Primetime Emmys. Another 3 wins & 12 nominations.,N/A,USA,N/A,N/A,"Action, Crime, Drama",English,N/A,"Matt Murdock, with his other senses superhumanly enhanced, fights crime as a blind lawyer by day, and vigilante by night.",https://images-na.ssl-images-amazon.com/images/M/MV5BNzUwMDEyMTIxM15BMl5BanBnXkFtZTgwNDU3OTYyODE@._V1_SX300.jpg,N/A,TV-MA,10 Apr 2015,True,54 min,Daredevil,series,N/A,Drew Goddard,2015–,tt3322312,8.8,"239,418",N/A,N/A,2
23,"Bobby Driscoll, Kathryn Beaumont, Hans Conried, Bill Thompson",2 nominations.,N/A,USA,06 Mar 2007,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske, Jack Kinney","Animation, Adventure, Family","English, American Sign Language",N/A,"Wendy and her brothers are whisked away to the magical world of Neverland with the hero of their stories, Peter Pan.",https://images-na.ssl-images-amazon.com/images/M/MV5BMzIwMzUyYTUtMjQ3My00NDc3LWIyZjQtOGUzNDJmNTFlNWUxXkEyXkFqcGdeQXVyMjA0MDQ0Mjc@._V1_SX300.jpg,Walt Disney,APPROVED,05 Feb 1953,True,77 min,Peter Pan,movie,N/A,"J.M. Barrie (play), Ted Sears (story), Erdman Penner (story), Bill Peet (story), Winston Hibler (story), Joe Rinaldi (story), Milt Banta (story), Ralph Wright (story), William Cottrell (story)",1953,tt0046183,7.3,"92,549",fresh,29,
24,"Jack Black, Adam Pascal, Lucas Papaelias, Chris Stack",Nominated for 1 Golden Globe. Another 8 wins & 18 nominations.,"$81,200,000.00","USA, Germany",02 Mar 2004,Richard Linklater,"Comedy, Family, Music",English,82,"After being kicked out of a rock band, Dewey Finn becomes a substitute teacher of a strict elementary private school, only to try and turn it into a rock band.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjEwOTMzNjYzMl5BMl5BanBnXkFtZTcwNjczMTQyMQ@@._V1_SX300.jpg,Paramount Pictures,PG-13,03 Oct 2003,True,108 min,School of Rock,movie,http://www.schoolofrockmovie.com/,Mike White,2003,tt0332379,7.1,"217,716",certified,192,
25,"Kate Hudson, Matthew McConaughey, Kathryn Hahn, Annie Parisse",1 win & 8 nominations.,"$105,765,605.00","USA, Germany",01 Jul 2003,Donald Petrie,"Comedy, Romance",English,45,"Benjamin Barry is an advertising executive and ladies' man who, to win a big campaign, bets that he can make a woman fall in love with him in 10 days. Andie Anderson covers the ""How To"" beat for ""Composure"" magazine and is assigned to write an article on ""How to Lose a Guy in 10 days."" They meet in a bar shortly after the bet is made.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4NTA1NzExN15BMl5BanBnXkFtZTYwNjc3MjM3._V1_SX300.jpg,Paramount Pictures,PG-13,07 Feb 2003,True,116 min,How to Lose a Guy in 10 Days,movie,http://www.howtoloseaguymovie.com/,"Michele Alexander (book), Jeannie Long (book), Kristen Buckley (screenplay), Brian Regan (screenplay), Burr Steers (screenplay)",2003,tt0251127,6.4,"164,821",rotten,148,
26,"Eric Bana, Jennifer Connelly, Sam Elliott, Josh Lucas",2 wins & 10 nominations.,"$132,122,995.00",USA,28 Oct 2003,Ang Lee,"Action, Sci-Fi","English, Spanish",54,"Bruce Banner, a genetics researcher with a tragic past, suffers an accident that causes him to transform into a raging green monster when he gets angry.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxNzUxNTE4Nl5BMl5BanBnXkFtZTYwMjcyNTk5._V1_SX300.jpg,Universal Pictures,PG-13,20 Jun 2003,True,138 min,Hulk,movie,http://www.thehulk.com/,"Stan Lee (Marvel comic book character), Jack Kirby (Marvel comic book character), James Schamus (story), John Turman (screenplay), Michael France (screenplay), James Schamus (screenplay)",2003,tt0286716,5.7,"217,444",fresh,227,
27,"Sigourney Weaver, Jon Voight, Tim Blake Nelson, Shia LaBeouf",3 wins & 9 nominations.,"$67,325,559.00",USA,23 Sep 2003,Andrew Davis,"Adventure, Comedy, Drama",English,71,A wrongfully convicted boy is sent to a brutal desert detention camp where he joins the job of digging holes for some mysterious reason.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0MTU5ODkwM15BMl5BanBnXkFtZTYwMzgxNzY3._V1_SX300.jpg,Buena Vista Pictures,PG,18 Apr 2003,True,117 min,Holes,movie,http://disney.go.com/disneypictures/holes/index.html,"Louis Sachar (novel), Louis Sachar (screenplay)",2003,tt0311289,7.1,"60,289",certified,133,
28,"Russell Crowe, Paul Bettany, James D'Arcy, Edward Woodall",Won 2 Oscars. Another 21 wins & 92 nominations.,"$92,100,000.00",USA,20 Apr 2004,Peter Weir,"Action, Adventure, Drama","English, French, Portuguese",81,"During the Napoleonic Wars, a brash British captain pushes his ship and crew to their limits in pursuit of a formidable French war vessel around South America.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA5NjYyMDM5NV5BMl5BanBnXkFtZTYwOTU5MDY2._V1_SX300.jpg,20th Century Fox,PG-13,14 Nov 2003,True,138 min,Master and Commander: The Far Side of the World,movie,http://www.masterandcommanderthefarsideoftheworld.com/,"Patrick O'Brian (novels), Peter Weir (screenplay), John Collee (screenplay)",2003,tt0311113,7.4,"172,974",certified,211,
29,"Mark Wahlberg, Charlize Theron, Donald Sutherland, Jason Statham",7 wins & 7 nominations.,"$105,996,316.00","USA, France, UK",07 Oct 2003,F. Gary Gray,"Action, Crime, Thriller","English, Russian, Italian",68,"After being betrayed and left for dead in Italy, Charlie Croker and his team plan an elaborate gold heist against their former ally.",https://images-na.ssl-images-amazon.com/images/M/MV5BNDYyNzYxNjYtNmYzMC00MTE0LWIwMmYtNTAyZDBjYTIxMTRhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,Paramount Pictures,PG-13,30 May 2003,True,111 min,The Italian Job,movie,http://www.italianjobmovie.com/flash/index.html,"Troy Kennedy-Martin, Donna Powers (screenplay), Wayne Powers (screenplay)",2003,tt0317740,7.0,"293,666",fresh,179,
30,"Morgan Freeman, Thomas Jane, Jason Lee, Damian Lewis",5 nominations.,"$33,700,000.00",USA,01 Jun 2004,Lawrence Kasdan,"Drama, Horror, Sci-Fi",English,35,Friends on a camping trip discover that the town they're vacationing in is being plagued in an unusual fashion by parasitic aliens from outer space.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk1MjQwMTQyMV5BMl5BanBnXkFtZTcwODcxMjEzMw@@._V1_SX300.jpg,Warner Bros. Pictures,R,21 Mar 2003,True,134 min,Dreamcatcher,movie,http://dreamcatchermovie.warnerbros.com/,"Stephen King (novel), William Goldman (screenplay), Lawrence Kasdan (screenplay)",2003,tt0285531,5.5,"77,737",rotten,168,
31,"Jessica Biel, Jonathan Tucker, Erica Leerhsen, Mike Vogel",4 wins & 15 nominations.,"$80,148,261.00",USA,30 Mar 2004,Marcus Nispel,Horror,English,38,"After picking up a traumatized young hitchhiker, five friends find themselves stalked and hunted by a deformed chainsaw-wielding killer and his family of equally psychopathic killers.",https://images-na.ssl-images-amazon.com/images/M/MV5BZDg2NDJkOGYtMjM3My00Mzc2LWJiYjktODFlMzBjNmQwMTEyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,New Line Cinema,R,17 Oct 2003,True,98 min,The Texas Chainsaw Massacre,movie,http://www.texaschainsawmovie.com/,"Kim Henkel, Tobe Hooper, Scott Kosar (screenplay)",2003,tt0324216,6.2,"111,800",rotten,155,
32,"Paul Walker, Tyrese Gibson, Eva Mendes, Cole Hauser",3 wins & 13 nominations.,"$127,083,765.00","USA, Germany",30 Sep 2003,John Singleton,"Action, Crime, Thriller","English, Spanish",38,Former cop Brian O'Conner is called upon to bust a dangerous criminal and he recruits the help of a former childhood friend and street racer who has a chance to redeem himself.,https://images-na.ssl-images-amazon.com/images/M/MV5BMzExYjcyYWMtY2JkOC00NDUwLTg2OTgtMDI3MGY2OWQzMDE2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Universal Pictures Distributio,PG-13,06 Jun 2003,True,107 min,2 Fast 2 Furious,movie,http://www.thefastandthefurious.com/,"Gary Scott Thompson (characters), Michael Brandt (story), Derek Haas (story), Gary Scott Thompson (story), Michael Brandt (screenplay), Derek Haas (screenplay)",2003,tt0322259,5.9,"199,784",rotten,159,
33,"Paul Walker, Frances O'Connor, Gerard Butler, Billy Connolly",N/A,"$19,375,474.00",USA,13 Apr 2004,Richard Donner,"Action, Adventure, Sci-Fi","English, French",28,A group of archaeologists become trapped in the past when they go there to retrieve a friend. The group must survive in 14th century France before they can escape back to the 21st Century.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5OTAyNDE3NV5BMl5BanBnXkFtZTYwOTkzMzE3._V1_SX300.jpg,Paramount Pictures,PG-13,26 Nov 2003,True,116 min,Timeline,movie,http://www.timelinemovie.com,"Michael Crichton (novel), Jeff Maguire (screenplay), George Nolfi (screenplay)",2003,tt0300556,5.6,"54,026",rotten,140,
34,"Ray Wise, Jonathan Breck, Garikayi Mutambirwa, Eric Nenninger",5 nominations.,"$35,200,000.00",USA,23 Dec 2003,Victor Salva,Horror,English,36,"Set a few days after the original, a championship basketball team's bus is attacked by The Creeper, the winged, flesh-eating terror, on the last day of his 23-day feeding frenzy.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTIxNDI2NzQyNF5BMl5BanBnXkFtZTYwMTY5MTQ3._V1_SX300.jpg,MGM/UA,R,29 Aug 2003,True,104 min,Jeepers Creepers II,movie,http://www.jeeperscreepers2.net,"Victor Salva (characters), Victor Salva",2003,tt0301470,5.6,"46,764",rotten,122,
35,"Martin Lawrence, Will Smith, Jordi Mollà, Gabrielle Union",5 wins & 12 nominations.,"$138,396,624.00",USA,09 Dec 2003,Michael Bay,"Action, Comedy, Crime","English, Spanish",38,Two loose-cannon narcotics cops investigate the flow of Ecstasy into Florida.,https://images-na.ssl-images-amazon.com/images/M/MV5BZmU4NzVkZjEtZmQxMi00ZDY5LWI3ZDYtMWRmZjE5YmYwZjQzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Sony Pictures Entertainment,R,18 Jul 2003,True,147 min,Bad Boys II,movie,http://www.sonypictures.com/movies/badboys2/site/,"George Gallo (characters), Marianne Wibberley (story), Cormac Wibberley (story), Ron Shelton (story), Ron Shelton (screenplay), Jerry Stahl (screenplay)",2003,tt0172156,6.6,"183,577",rotten,177,
36,"Billy Bob Thornton, Tony Cox, Brett Kelly, Lauren Graham",Nominated for 1 Golden Globe. Another 1 win & 11 nominations.,N/A,"USA, Germany",22 Jun 2004,Terry Zwigoff,"Comedy, Crime, Drama",English,70,"A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid, and the security boss discovers the plot.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4Njg1MDcwN15BMl5BanBnXkFtZTYwMzAxNjM3._V1_SX300.jpg,Miramax Films,R,26 Nov 2003,True,91 min,Bad Santa,movie,http://www.miramax.com/movie/bad-santa,"Glenn Ficarra, John Requa",2003,tt0307987,7.1,"114,852",certified,213,
37,"Arnold Schwarzenegger, Nick Stahl, Claire Danes, Kristanna Loken",2 wins & 17 nominations.,"$150,252,753.00","USA, Germany, UK",11 Nov 2003,Jonathan Mostow,"Action, Sci-Fi, Thriller",English,66,A cybernetic warrior from a post-apocalyptic future travels back in time to protect a 25-year old drifter and his future wife from a most advanced robotic assassin and to ensure they both survive a nuclear attack.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk5NzM1ODgyN15BMl5BanBnXkFtZTcwMzA5MjAzMw@@._V1_SX300.jpg,Warner Bros. Pictures,R,02 Jul 2003,True,109 min,Terminator 3: Rise of the Machines,movie,http://www.terminator3.com/,"James Cameron (characters), Gale Anne Hurd (characters), John Brancato (story), Michael Ferris (story), Tedi Sarafian (story), John Brancato (screenplay), Michael Ferris (screenplay)",2003,tt0181852,6.4,"314,509",fresh,201,
