,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,tomatoImage,tomatoReviews,totalSeasons
10,"Keanu Reeves, Rachel Weisz, Shia LaBeouf, Djimon Hounsou",2 wins & 9 nominations.,"$75,400,000.00","USA, Germany",19 Jul 2005,Francis Lawrence,"Drama, Fantasy, Horror","English, Filipino, Tagalog",50,"Supernatural detective John Constantine helps a policewoman prove her sister's death was not a suicide, but something more.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTE5NDk5NTUyN15BMl5BanBnXkFtZTYwNzUyMDA3._V1_SX300.jpg,Warner Bros. Pictures,R,18 Feb 2005,True,121 min,Constantine,movie,http://constantinemovie.warnerbros.com/,"Jamie Delano (comic book ""Hellblazer""), Garth Ennis (comic book ""Hellblazer""), Kevin Brodbin (story), Kevin Brodbin (screenplay), Frank A. Cappello (screenplay)",2005,tt0360486,6.9,"244,141",rotten,218,
11,"Martin Hancock, Michael Sheen, Nathalie Cox, Eriq Ebouaney",5 wins & 13 nominations.,"$47,259,055.00","USA, UK, Spain, Germany, Morocco",11 Oct 2005,Ridley Scott,"Action, Adventure, Drama","English, Arabic, Latin, Italian",63,"Balian of Ibelin travels to Jerusalem during the crusades of the 12th century, and there he finds himself as the defender of the city and its people.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2MTIwNjg0MV5BMl5BanBnXkFtZTcwNjAxODIzMw@@._V1_SX300.jpg,20th Century Fox,R,06 May 2005,True,144 min,Kingdom of Heaven,movie,http://www.kingdomofheavenmovie.com/,William Monahan,2005,tt0320661,7.2,"225,333",rotten,186,
12,"Owen Wilson, Vince Vaughn, Christopher Walken, Rachel McAdams",11 wins & 11 nominations.,"$209,218,368.00",USA,03 Jan 2006,David Dobkin,"Comedy, Romance",English,64,"John Beckwith and Jeremy Grey, a pair of committed womanizers who sneak into weddings to take advantage of the romantic tinge in the air, find themselves at odds with one another when John meets and falls for Claire Cleary.",https://images-na.ssl-images-amazon.com/images/M/MV5BZmJkNzViYjYtZWZlNy00OGE4LWI2MzUtYTcwNjY3Y2MyODIwXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,New Line Cinema,R,15 Jul 2005,True,119 min,Wedding Crashers,movie,http://www.weddingcrashersmovie.com/,"Steve Faber, Bob Fisher",2005,tt0396269,7.0,"286,087",certified,182,
13,"Tom Cruise, Dakota Fanning, Miranda Otto, Justin Chatwin",Nominated for 3 Oscars. Another 13 wins & 40 nominations.,"$234,141,872.00",USA,22 Nov 2005,Steven Spielberg,"Adventure, Sci-Fi, Thriller",English,73,"As Earth is invaded by alien tripod fighting machines, one family fights for survival.",https://images-na.ssl-images-amazon.com/images/M/MV5BNDUyODAzNDI1Nl5BMl5BanBnXkFtZTcwMDA2NDAzMw@@._V1_SX300.jpg,Paramount Pictures,PG-13,29 Jun 2005,True,116 min,War of the Worlds,movie,http://www.waroftheworlds.com/,"Josh Friedman (screenplay), David Koepp (screenplay), H.G. Wells (novel)",2005,tt0407304,6.5,"346,102",fresh,251,
14,"Ewan McGregor, Natalie Portman, Hayden Christensen, Ian McDiarmid",Nominated for 1 Oscar. Another 25 wins & 51 nominations.,N/A,USA,01 Nov 2005,George Lucas,"Action, Adventure, Fantasy",English,68,"Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.",https://images-na.ssl-images-amazon.com/images/M/MV5BNTc4MTc3NTQ5OF5BMl5BanBnXkFtZTcwOTg0NjI4NA@@._V1_SX300.jpg,20th Century Fox,PG-13,19 May 2005,True,140 min,Star Wars: Episode III - Revenge of the Sith,movie,http://www.starwars.com/,George Lucas,2005,tt0121766,7.6,"544,667",certified,284,
15,"Jay Hernandez, Derek Richardson, Eythor Gudjonsson, Barbara Nedeljakova",4 wins & 12 nominations.,"$47,277,326.00","USA, Germany, Czech Republic, Slovakia, Iceland",18 Apr 2006,Eli Roth,Horror,"English, Czech, German, Dutch, Slovak, Japanese, Icelandic, Russian, Spanish",55,"Three backpackers head to a Slovak city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY1NDA3ODM1OV5BMl5BanBnXkFtZTcwMDM5NzEzMQ@@._V1_SX300.jpg,Lions Gate Films,R,06 Jan 2006,True,94 min,Hostel,movie,http://www.hostelfilm.com/,Eli Roth,2005,tt0450278,5.9,"142,588",fresh,104,
16,"Steve Carell, Catherine Keener, Paul Rudd, Romany Malco",10 wins & 18 nominations.,"$109,243,478.00",USA,13 Dec 2005,Judd Apatow,"Comedy, Romance","English, Spanish, Japanese",73,"Goaded by his buddies, a nerdy guy who's never ""done the deed"" only finds the pressure mounting when he meets a single mother.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU5MzU2MzY2Nl5BMl5BanBnXkFtZTgwOTM4NzMxMDE@._V1_SX300.jpg,Universal Pictures,R,19 Aug 2005,True,116 min,The 40-Year-Old Virgin,movie,http://www.the40yearoldvirgin.com/,"Judd Apatow, Steve Carell",2005,tt0405422,7.1,"322,879",certified,181,
17,"Lauren Lee Smith, Eric Balfour, Polly Shannon, Mayko Nguyen",1 win & 2 nominations.,N/A,Canada,14 Feb 2006,Clement Virgo,"Drama, Romance","English, Spanish",N/A,"An outgoing, sexually aggressive young woman meets and begins a torrid affair with an equally aggressive young man in which their affair begins to bring a strain on their personal lives.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTA5NTA5MDUyOTNeQTJeQWpwZ15BbWU3MDAzMDE5MzE@._V1_SX300.jpg,ThinkFilm Inc.,NOT RATED,03 Mar 2006,True,93 min,Lie with Me,movie,N/A,"Tamara Berger, Clement Virgo, Tamara Berger (book), Carrie Paupst Shaughnessy (story editor)",2005,tt0418832,5.5,"11,883",rotten,8,
18,"Viggo Mortensen, Maria Bello, Ed Harris, William Hurt",Nominated for 2 Oscars. Another 37 wins & 72 nominations.,"$31,500,000.00","USA, Germany, Canada",14 Mar 2006,David Cronenberg,"Crime, Drama, Thriller",English,81,"A mild-mannered man becomes a local hero through an act of violence, which sets off repercussions that will shake his family to its very core.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTczMzIzMTQ1OV5BMl5BanBnXkFtZTYwMDQwNjk2._V1_SX300.jpg,New Line Cinema,R,30 Sep 2005,True,96 min,A History of Violence,movie,http://www.historyofviolence.com/,"John Wagner (graphic novel), Vince Locke (graphic novel), Josh Olson (screenplay)",2005,tt0399146,7.5,"191,843",certified,207,
19,"Nathan Fillion, Gina Torres, Alan Tudyk, Morena Baccarin",9 wins & 8 nominations.,"$25,335,935.00",USA,20 Dec 2005,Joss Whedon,"Action, Adventure, Sci-Fi","English, Mandarin",74,The crew of the ship Serenity try to evade an assassin sent to recapture one of their members who is telepathic.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5YjQ0MGQtOTdjZS00OGZhLTk1ZGItMThjOGFiZmMxYWRjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Universal Pictures,PG-13,30 Sep 2005,True,119 min,Serenity,movie,http://www.serenitymovie.com/,Joss Whedon,2005,tt0379786,8.0,"248,988",certified,180,
20,"Robert Downey Jr., Val Kilmer, Michelle Monaghan, Corbin Bernsen",5 wins & 15 nominations.,"$4,200,000.00",USA,13 Jun 2006,Shane Black,"Comedy, Crime, Mystery",English,72,"A murder mystery brings together a private eye, a struggling actress, and a thief masquerading as an actor.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY5NDExMDA3M15BMl5BanBnXkFtZTYwNTc2MzA3._V1_SX300.jpg,Warner Bros. Pictures,R,18 Nov 2005,True,103 min,Kiss Kiss Bang Bang,movie,http://kisskiss-bangbang.warnerbros.com/,"Brett Halliday (novel), Shane Black (screen story), Shane Black (screenplay)",2005,tt0373469,7.6,"181,536",certified,171,
21,"Michael Angarano, Kurt Russell, Kelly Preston, Danielle Panabaker",1 nomination.,"$63,939,454.00",USA,29 Nov 2005,Mike Mitchell,"Adventure, Comedy, Family","English, Cantonese",62,"Set in an era where superheroes are commonly known and accepted, young William Stronghold, the son of the Commander and Jetstream, tries to find a balance between being a normal teenager and an extraordinary being.",https://images-na.ssl-images-amazon.com/images/M/MV5BZjA2NmY1OTQtMjE4Mi00NGRkLWFmODUtM2Q3ZTRlYjZhNWYwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Buena Vista,PG,29 Jul 2005,True,100 min,Sky High,movie,http://disney.go.com/disneypictures/skyhigh/,"Paul Hernandez, Robert Schooley, Mark McCorkle",2005,tt0405325,6.2,"63,939",fresh,127,
22,"Naomi Watts, Simon Baker, David Dorfman, Elizabeth Perkins",2 wins & 11 nominations.,"$75,888,270.00",USA,23 Aug 2005,Hideo Nakata,"Horror, Mystery",English,44,"Six months after the incidents involving the lethal videotape, new clues prove that there is a new evil lurking in the darkness.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2ODc2NTQ2OF5BMl5BanBnXkFtZTYwNzA4OTU3._V1_SX300.jpg,Dreamworks Distribution LLC,PG-13,18 Mar 2005,True,110 min,The Ring Two,movie,http://www.ring2-themovie.com,"Ehren Kruger, Kôji Suzuki (novel), Hiroshi Takahashi",2005,tt0377109,5.4,"74,772",rotten,183,
23,"Elijah Wood, Charlie Hunnam, Claire Forlani, Marc Warren",3 wins.,"$122,300.00","USA, UK",13 Jun 2006,Lexi Alexander,"Crime, Drama, Sport","English, Italian, German",55,"A wrongfully expelled Harvard undergrad moves to London, where he is introduced to the violent underworld of football hooliganism.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjExNTg3NzYwMV5BMl5BanBnXkFtZTcwMzcxMTEzMQ@@._V1_SX300.jpg,Freestyle Releasing,R,09 Sep 2005,True,109 min,Green Street Hooligans,movie,http://www.greenstreethooligans.com/,"Lexi Alexander (story), Dougie Brimson (story), Dougie Brimson (screenplay), Josh Shelov (screenplay), Lexi Alexander (screenplay)",2005,tt0385002,7.5,"121,376",rotten,62,
24,"Suzuka Ohgo, Togo Igawa, Mako, Samantha Futerman",Won 3 Oscars. Another 26 wins & 42 nominations.,"$57,000,000.00",USA,28 Mar 2006,Rob Marshall,"Drama, Romance","English, Japanese",54,Nitta Sayuri reveals how she transcended her fishing-village roots and became one of Japan's most celebrated geisha.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxMzM4NTEzOV5BMl5BanBnXkFtZTcwNDMwNjQzMw@@._V1_SX300.jpg,Sony Pictures,PG-13,23 Dec 2005,True,145 min,Memoirs of a Geisha,movie,http://www.sonypictures.com/movies/memoirsofageisha/,"Robin Swicord (screenplay), Arthur Golden (book)",2005,tt0397535,7.3,"121,545",rotten,158,
25,"Ewan McGregor, Scarlett Johansson, Djimon Hounsou, Sean Bean",1 win & 6 nominations.,"$35,800,000.00",USA,13 Dec 2005,Michael Bay,"Action, Adventure, Romance",English,50,"Lincoln Six Echo is just like everyone else - he's waiting to go to the Island, the only place left in the world to actually live a life. Thousands of people stay at a facility waiting to ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTAwNjk0NjM1ODReQTJeQWpwZ15BbWU3MDc1NjIxMzM@._V1_SX300.jpg,Dreamworks Distribution LLC,PG-13,22 Jul 2005,True,136 min,The Island,movie,http://www.theisland-themovie.com,"Caspian Tredwell-Owen (screenplay), Alex Kurtzman (screenplay), Roberto Orci (screenplay), Caspian Tredwell-Owen (story)",2005,tt0399201,6.9,"268,973",rotten,194,
26,"Bill Bailey, Anna Chancellor, Warwick Davis, Yasiin Bey",1 win & 9 nominations.,"$51,019,112.00","USA, UK",13 Sep 2005,Garth Jennings,"Adventure, Comedy, Sci-Fi",English,63,"Mere seconds before the Earth is to be demolished by an alien construction crew, journeyman Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy.""",https://images-na.ssl-images-amazon.com/images/M/MV5BZmU5MGU4MjctNjA2OC00N2FhLWFhNWQtMzQyMGI2ZmQ0Y2YyL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,Buena Vista,PG,29 Apr 2005,True,109 min,The Hitchhiker's Guide to the Galaxy,movie,http://hitchhikers.movies.go.com/,"Douglas Adams (book), Douglas Adams (screenplay), Karey Kirkpatrick (screenplay)",2005,tt0371724,6.8,"160,283",fresh,194,
27,"Brad Pitt, Angelina Jolie, Vince Vaughn, Adam Brody",9 wins & 18 nominations.,"$186,200,000.00",USA,29 Nov 2005,Doug Liman,"Action, Comedy, Crime","English, Spanish",55,A bored married couple is surprised to learn that they are both assassins hired by competing agencies to kill each other.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxMzcxNzQzOF5BMl5BanBnXkFtZTcwMzQxNjUyMw@@._V1_SX300.jpg,20th Century Fox,PG-13,10 Jun 2005,True,120 min,Mr. & Mrs. Smith,movie,http://www.mrandmrssmithmovie.com/,Simon Kinberg,2005,tt0356910,6.5,"363,218",rotten,207,
28,"Jake Gyllenhaal, Scott MacDonald, Peter Sarsgaard, Jamie Foxx",6 wins & 12 nominations.,"$62,578,105.00","USA, UK, Germany",07 Mar 2006,Sam Mendes,"Action, Drama, War","English, Spanish, Arabic, Latin",58,A psychological study of operations desert shield and desert storm during the gulf war; through the eyes of a U.S marine sniper who struggles to cope with the possibility his girlfriend may be cheating on him back home.,https://images-na.ssl-images-amazon.com/images/M/MV5BYmMyNGM4NWItYjgwYS00N2Q2LWJmY2YtY2ViNWYwMzRhODlmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Universal Pictures,R,04 Nov 2005,True,125 min,Jarhead,movie,http://www.jarheadmovie.com/,"William Broyles Jr. (screenplay), Anthony Swofford (book)",2005,tt0418763,7.0,"148,085",fresh,196,
29,"Colin Farrell, Q'orianka Kilcher, Christopher Plummer, Christian Bale",Nominated for 1 Oscar. Another 6 wins & 25 nominations.,"$12,465,566.00","USA, UK",09 May 2006,Terrence Malick,"Biography, Drama, History","English, Algonquin",69,"The story of the English exploration of Virginia, and of the changing world and loves of Pocahontas.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTdjNjQ5ZTAtODJlZi00MzcyLWJjY2UtNDZhNTJkYjlkNGY5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,New Line Cinema,PG-13,20 Jan 2006,True,135 min,The New World,movie,http://www.thenewworldmovie.com/,Terrence Malick,2005,tt0402399,6.7,"72,597",fresh,180,
30,"Shauna Macdonald, Natalie Mendoza, Alex Reid, Saskia Mulder",8 wins & 17 nominations.,"$26,005,908.00",UK,26 Dec 2006,Neil Marshall,"Adventure, Horror, Thriller",English,71,"A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA5NzQ1NTgwNV5BMl5BanBnXkFtZTcwNjUxMzUzMw@@._V1_SX300.jpg,Lionsgate,R,04 Aug 2006,True,99 min,The Descent,movie,http://www.thedescentfilm.com/,Neil Marshall,2005,tt0435625,7.2,"160,268",certified,171,
31,"Patrick Wilson, Ellen Page, Sandra Oh, Odessa Rae",10 wins & 13 nominations.,"$1,007,962.00",USA,19 Sep 2006,David Slade,"Crime, Drama, Thriller",English,58,A teenage girl raids a man's home in order to expose him under suspicion that he is a sex offender with pedophilia.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0MzgzNTI3N15BMl5BanBnXkFtZTcwNDk3MDIzMQ@@._V1_SX300.jpg,Lions Gate Films,R,28 Apr 2006,True,104 min,Hard Candy,movie,http://hardcandymovie.com/,Brian Nelson,2005,tt0424136,7.1,"135,474",fresh,140,
32,"Jonathan Rhys Meyers, Alexander Armstrong, Paul Kaye, Matthew Goode",Nominated for 1 Oscar. Another 11 wins & 28 nominations.,"$23,100,000.00","UK, Russia, Ireland, Luxembourg, USA",25 Apr 2006,Woody Allen,"Drama, Romance, Thriller",English,72,"At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTMzNzY4MzE5NF5BMl5BanBnXkFtZTcwMzQ1MDMzMQ@@._V1_SX300.jpg,Dreamworks,R,20 Jan 2006,True,119 min,Match Point,movie,http://www.matchpoint.dreamworks.com//,Woody Allen,2005,tt0416320,7.7,"173,189",certified,210,
33,"Russell Crowe, Renée Zellweger, Paul Giamatti, Craig Bierko",Nominated for 3 Oscars. Another 16 wins & 40 nominations.,"$61,600,000.00",USA,06 Dec 2005,Ron Howard,"Biography, Drama, Sport",English,69,"The story of James Braddock, a supposedly washed-up boxer who came back to become a champion and an inspiration in the 1930s.",https://images-na.ssl-images-amazon.com/images/M/MV5BODEyYmQxZjUtZGQ0NS00ZTAwLTkwOGQtNGY2NzEwMWE0MDc3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Universal Pictures,PG-13,03 Jun 2005,True,144 min,Cinderella Man,movie,http://www.cinderellamanmovie.com,"Cliff Hollingsworth (screenplay), Akiva Goldsman (screenplay), Cliff Hollingsworth (story)",2005,tt0352248,8.0,"152,893",certified,209,
34,"Anthony Rapp, Adam Pascal, Rosario Dawson, Jesse L. Martin",1 win & 21 nominations.,"$29,077,547.00",USA,21 Feb 2006,Chris Columbus,"Drama, Musical, Romance",English,53,"This is the film version of the Pulitzer and Tony Award winning musical about Bohemians in the East Village of New York City struggling with life, love and AIDS, and the impacts they have on America.",https://images-na.ssl-images-amazon.com/images/M/MV5BOTNmZWI2NzItNmNmMC00ZGY2LWE4ZTAtNjMxZTJiZWUwMzAyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Sony Pictures,PG-13,23 Nov 2005,True,135 min,Rent,movie,http://www.sonypictures.com/movies/rent/index.html,"Stephen Chbosky (screenplay), Jonathan Larson (book)",2005,tt0294870,7.0,"42,622",rotten,170,
35,"Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis",3 wins & 12 nominations.,"$154,485,963.00","USA, Germany",06 Dec 2005,Tim Story,"Action, Adventure, Family",English,40,"A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.",https://images-na.ssl-images-amazon.com/images/M/MV5BNWU1ZjFjMTctYjA5ZC00YTBkLTkzZjUtZWEyMjgxY2MxYWM4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,20th Century Fox,PG-13,08 Jul 2005,True,106 min,Fantastic Four,movie,http://www.fantasticfourmovie.com/,"Mark Frost, Michael France, Stan Lee (Marvel comic book), Jack Kirby (Marvel comic book)",2005,tt0120667,5.7,"274,185",rotten,204,
36,"Vin Diesel, Lauren Graham, Faith Ford, Brittany Snow",1 win & 10 nominations.,"$113,006,880.00","Canada, USA",28 Jun 2005,Adam Shankman,"Action, Comedy, Drama","English, Korean",30,Disgraced Navy SEAL Shane Wolfe is handed a new assignment: Protect the five Plummer kids from enemies of their recently deceased father -- a government scientist whose top-secret experiment remains in the kids' house.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2MTYxNzM3M15BMl5BanBnXkFtZTcwNTEzNTgyMQ@@._V1_SX300.jpg,Buena Vista,PG,04 Mar 2005,True,95 min,The Pacifier,movie,http://disney.go.com/disneypictures/main.html?dlink=pacifier,"Thomas Lennon, Robert Ben Garant",2005,tt0395699,5.6,"69,703",rotten,129,
