,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,tomatoImage,tomatoReviews
19,"Vin Diesel, Paul Walker, Jason Statham, Michelle Rodriguez",Nominated for 1 Golden Globe. Another 23 wins & 26 nominations.,"$316,986,481.00","USA, Japan",15 Sep 2015,James Wan,"Action, Crime, Thriller",English,67,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxOTA2NDUzOV5BMl5BanBnXkFtZTgwNzY2MTMxMzE@._V1_SX300.jpg,Universal Pictures,PG-13,03 Apr 2015,True,137 min,Furious 7,movie,http://www.furious7.com/,"Chris Morgan, Gary Scott Thompson (characters)",2015,tt2820852,7.2,"291,745",certified,233
20,"Keanu Reeves, Lorenza Izzo, Ana de Armas, Aaron Burns",N/A,"$285,363.00","USA, Chile",08 Dec 2015,Eli Roth,"Drama, Horror, Thriller","English, Spanish",53,"When a devoted husband and father is left home alone for the weekend, two stranded young women unexpectedly knock on his door for help. What starts out as a kind gesture results in a dangerous seduction and a deadly game of cat and mouse.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY5NTkyMzM1Nl5BMl5BanBnXkFtZTgwODU3Njc2NjE@._V1_SX300.jpg,Lionsgate Premiere,R,09 Oct 2015,True,99 min,Knock Knock,movie,http://knockknockthemovie.com,"Eli Roth (screenplay), Nicolás López (screenplay), Guillermo Amoedo (screenplay), Anthony Overman (story), Michael Ronald Ross (story)",2015,tt3605418,4.9,"50,818",rotten,65
21,"Johnny Depp, Joel Edgerton, Benedict Cumberbatch, Dakota Johnson",5 wins & 21 nominations.,"$48,786,443.00","USA, UK",22 Dec 2015,Scott Cooper,"Biography, Crime, Drama",English,68,"The true story of Whitey Bulger, the brother of a state senator and the most infamous violent criminal in the history of South Boston, who became an FBI informant to take down a Mafia family invading his turf.",https://images-na.ssl-images-amazon.com/images/M/MV5BNzg0ODI3NDQxNF5BMl5BanBnXkFtZTgwMzgzNDA0NjE@._V1_SX300.jpg,Warner Bros Pictures,R,18 Sep 2015,True,123 min,Black Mass,movie,http://www.blackmassthemovie.com/,"Mark Mallouk (screenplay), Jez Butterworth (screenplay), Dick Lehr (based on the book by), Gerard O'Neill (based on the book by)",2015,tt1355683,6.9,"130,366",certified,250
22,"Aomi Muyock, Karl Glusman, Klara Kristin, Ugo Fox",1 win & 1 nomination.,"$176,061.00","France, Belgium",15 Mar 2016,Gaspar Noé,"Drama, Romance","English, French",51,"Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with the unstable Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzNDUwODk5NF5BMl5BanBnXkFtZTgwNzA0MDQ2NTE@._V1_SX300.jpg,Alchemy,NOT RATED,30 Oct 2015,True,135 min,Love,movie,N/A,Gaspar Noé,2015,tt3774694,6.0,"22,371",rotten,79
23,"Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader",Won 1 Oscar. Another 92 wins & 95 nominations.,"$264,317,903.00",USA,03 Nov 2015,"Pete Docter, Ronnie Del Carmen","Animation, Adventure, Comedy",English,94,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",https://images-na.ssl-images-amazon.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1_SX300.jpg,Disney/Pixar,PG,19 Jun 2015,True,95 min,Inside Out,movie,https://www.facebook.com/PixarInsideOut,"Pete Docter (original story by), Ronnie Del Carmen (original story by), Pete Docter (screenplay), Meg LeFauve (screenplay), Josh Cooley (screenplay), Michael Arndt (additional story material by), Bill Hader (additional dialogue by), Amy Poehler (additional dialogue by), Simon Rich (additional story material by)",2015,tt2096673,8.2,"393,527",certified,318
24,"Paul Anderson, Tom Hardy, Christopher Eccleston, Joshua Hill",6 wins & 10 nominations.,"$14,146,549.00","UK, France, USA",01 Mar 2016,Brian Helgeland,"Biography, Crime, Drama",English,55,Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s.,https://images-na.ssl-images-amazon.com/images/M/MV5BMDQ4MGY0NWUtY2MxOC00YzI5LTg0OTEtZjNmY2Q2ZmM0MTA1XkEyXkFqcGdeQXVyNTQzOTc3MTI@._V1_SX300.jpg,Universal Studios,R,20 Nov 2015,True,132 min,Legend,movie,http://www.legend-the-movie.com/,"Brian Helgeland, John Pearson (book)",2015,tt3569230,7.0,"102,916",fresh,154
25,"Anton Yelchin, Joe Cole, Alia Shawkat, Callum Turner",8 wins & 22 nominations.,"$3,219,029.00",USA,12 Jul 2016,Jeremy Saulnier,"Crime, Horror, Thriller",English,79,A punk rock band is forced to fight for survival after witnessing a murder at a neo-Nazi skinhead bar.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjU1ODQ5NzA0N15BMl5BanBnXkFtZTgwMDg5MTA5NzE@._V1_SX300.jpg,A24 Films,R,13 May 2016,True,95 min,Green Room,movie,http://greenroom-movie.com/,Jeremy Saulnier,2015,tt4062536,7.1,"56,598",certified,203
26,"Jennifer Lawrence, Robert De Niro, Bradley Cooper, Edgar Ramírez",Nominated for 1 Oscar. Another 5 wins & 19 nominations.,"$42,581,369.00",USA,03 May 2016,David O. Russell,Drama,"English, Spanish, French",56,"Joy is the story of the title character, who rose to become founder and matriarch of a powerful family business dynasty.",https://images-na.ssl-images-amazon.com/images/M/MV5BNzRiOWZmMzUtZTJiOC00MjQ1LTkwMjgtNzhlYzBmODAzYTA0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,20th Century Fox,PG-13,25 Dec 2015,True,124 min,Joy,movie,http://www.joymovie.com,"David O. Russell (screenplay), Annie Mumolo (story), David O. Russell (story)",2015,tt2446980,6.6,"93,794",fresh,231
27,"Helen Mirren, Ryan Reynolds, Daniel Brühl, Katie Holmes",5 nominations.,N/A,UK,07 Jul 2015,Simon Curtis,"Biography, Drama, History","English, German",51,"Maria Altmann, an octogenarian Jewish refugee, takes on the Austrian government to recover artwork she believes rightfully belongs to her family.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTExMTUxNDQ5MjdeQTJeQWpwZ15BbWU4MDk4NTgxMzQx._V1_SX300.jpg,The Weinstein Company,PG-13,10 Apr 2015,True,109 min,Woman in Gold,movie,http://www.facebook.com/WomanInGoldMovie,"Alexi Kaye Campbell, E. Randol Schoenberg (life story), Maria Altmann (life story)",2015,tt2404425,7.3,"38,085",rotten,139
28,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Paul Rudd, Michael Douglas, Evangeline Lilly, Corey Stoll",Nominated for 1 BAFTA Film Award. Another 2 wins & 29 nominations.,"$138,002,223.00",USA,08 Dec 2015,Peyton Reed,"Action, Adventure, Comedy",English,64,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, plan and pull off a heist that will save the world.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjM2NTQ5Mzc2M15BMl5BanBnXkFtZTgwNTcxMDI2NTE@._V1_SX300.jpg,Disney/Marvel,PG-13,17 Jul 2015,True,117 min,Ant-Man,movie,http://www.facebook.com/antman,"Edgar Wright (screenplay), Joe Cornish (screenplay), Adam McKay (screenplay), Paul Rudd (screenplay), Edgar Wright (story by), Joe Cornish (story by), Stan Lee (based on the comics by), Larry Lieber (based on the comics by), Jack Kirby (based on the comics by)",2015,tt0478970,7.3,"351,580",certified,273
30,"Henry Cavill, Armie Hammer, Alicia Vikander, Elizabeth Debicki",4 wins & 4 nominations.,"$38,140,180.00","USA, UK",17 Nov 2015,Guy Ritchie,"Action, Adventure, Comedy","English, Russian, German, Italian",56,"In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTc2NjQ4ODYyNF5BMl5BanBnXkFtZTgwODA3OTU5NTE@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,14 Aug 2015,True,116 min,The Man from U.N.C.L.E.,movie,http://www.manfromuncle.com/,"Guy Ritchie (screenplay), Lionel Wigram (screenplay), Jeff Kleeman (story), David C. Wilson (story), Guy Ritchie (story), Lionel Wigram (story), Sam Rolfe (television series)",2015,tt1638355,7.3,"195,355",fresh,235
31,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad",Nominated for 1 Oscar. Another 45 wins & 60 nominations.,"$81,157,671.00",USA,01 Mar 2016,Ryan Coogler,"Drama, Sport","English, Spanish",82,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",https://images-na.ssl-images-amazon.com/images/M/MV5BODg5NDM1MDI4NF5BMl5BanBnXkFtZTgwMzg0MzQxNzE@._V1_SX300.jpg,Warner Bros.,PG-13,25 Nov 2015,True,133 min,Creed,movie,http://creedthemovie.com/,"Ryan Coogler (screenplay), Aaron Covington (screenplay), Ryan Coogler (story by), Sylvester Stallone (based on characters created by)",2015,tt3076658,7.7,"168,692",certified,255
33,"Chris Hemsworth, Benjamin Walker, Cillian Murphy, Brendan Gleeson",1 win & 5 nominations.,"$19,043,843.00","USA, Australia, Spain",08 Mar 2016,Ron Howard,"Action, Adventure, Biography",English,47,"A recounting of a New England whaling ship's sinking by a giant whale in 1820, an experience that later inspired the great novel Moby-Dick.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA5NzUwODExM15BMl5BanBnXkFtZTgwNjM0MzE4NjE@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,11 Dec 2015,True,122 min,In the Heart of the Sea,movie,http://www.intheheartoftheseamovie.com/,"Charles Leavitt (screenplay), Charles Leavitt (story), Rick Jaffa (story), Amanda Silver (story), Nathaniel Philbrick (book)",2015,tt1390411,6.9,"86,998",rotten,211
34,"Jake Gyllenhaal, Rachel McAdams, Forest Whitaker, Oona Laurence",8 nominations.,"$42,373,328.00","USA, Hong Kong",27 Oct 2015,Antoine Fuqua,"Drama, Sport",English,57,Boxer Billy Hope turns to trainer Tick Wills to help him get his life back on track after losing his wife in a tragic accident and his daughter to child protection services.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI1MTcwODk0MV5BMl5BanBnXkFtZTgwMTgwMDM5NTE@._V1_SX300.jpg,The Weinstein Company,R,24 Jul 2015,True,124 min,Southpaw,movie,http://southpawfilm.com/,Kurt Sutter,2015,tt1798684,7.4,"162,182",fresh,209
35,"Saoirse Ronan, Hugh Gormley, Brid Brennan, Maeve McGrath",Nominated for 3 Oscars. Another 33 wins & 144 nominations.,"$30,459,009.00","UK, Canada, Ireland, Belgium",15 Mar 2016,John Crowley,"Drama, Romance",English,87,"An Irish immigrant lands in 1950s Brooklyn, where she quickly falls into a romance with a local. When her past catches up with her, however, she must choose between two countries and the lives that exist within.",https://images-na.ssl-images-amazon.com/images/M/MV5BMzE4MDk5NzEyOV5BMl5BanBnXkFtZTgwNDM4NDA3NjE@._V1_SX300.jpg,Fox Searchlight Pictures,PG-13,25 Nov 2015,True,117 min,Brooklyn,movie,http://www.brooklyn-themovie.com,"Nick Hornby, Colm Tóibín (novel)",2015,tt2381111,7.5,"89,534",certified,233
36,"Bradley Cooper, Sienna Miller, Daniel Brühl, Riccardo Scamarcio",6 wins.,N/A,USA,26 Jan 2016,John Wells,"Comedy, Drama","English, French, Spanish",42,"Adam Jones (Bradley Cooper) is a chef who destroyed his career with drugs and diva behavior. He cleans up and returns to London, determined to redeem himself by spearheading a top restaurant that can gain three Michelin stars.",https://images-na.ssl-images-amazon.com/images/M/MV5BNjEzNTk2OTEwNF5BMl5BanBnXkFtZTgwNzExMTg0NjE@._V1_SX300.jpg,The Weinstein Company,R,30 Oct 2015,True,101 min,Burnt,movie,http://www.facebook.com/BurntFilm,"Steven Knight (screenplay), Michael Kalesniko (story)",2015,tt2503944,6.6,"72,061",rotten,141
37,"Tom Cruise, Jeremy Renner, Simon Pegg, Rebecca Ferguson",3 wins & 18 nominations.,"$154,979,949.00","China, Hong Kong, USA",15 Dec 2015,Christopher McQuarrie,"Action, Adventure, Thriller","English, Swedish, German",75,"Ethan and team take on their most impossible mission yet, eradicating the Syndicate - an International rogue organization as highly skilled as they are, committed to destroying the IMF.",https://images-na.ssl-images-amazon.com/images/M/MV5BOTFmNDA3ZjMtN2Y0MC00NDYyLWFlY2UtNTQ4OTQxMmY1NmVjXkEyXkFqcGdeQXVyNTg4NDQ4NDY@._V1_SX300.jpg,Paramount Pictures,PG-13,31 Jul 2015,True,131 min,Mission: Impossible - Rogue Nation,movie,http://www.missionimpossible.com/,"Christopher McQuarrie (screenplay), Christopher McQuarrie (story), Drew Pearce (story), Bruce Geller (television series)",2015,tt2381249,7.4,"250,716",certified,278
38,"Christian Bale, Cate Blanchett, Natalie Portman, Brian Dennehy",3 wins & 5 nominations.,N/A,USA,N/A,Terrence Malick,"Drama, Romance","English, German, Serbian",53,A writer indulging in all that Los Angeles and Las Vegas has to offer undertakes a search for love and self via a series of adventures with six different women.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQyOTcwODIyNF5BMl5BanBnXkFtZTgwMDE4OTI4NzE@._V1_SX300.jpg,N/A,R,04 Mar 2016,True,118 min,Knight of Cups,movie,N/A,Terrence Malick,2015,tt2101383,5.7,"16,170",N/A,N/A
39,"Mila Kunis, Channing Tatum, Sean Bean, Eddie Redmayne",4 wins & 14 nominations.,"$43,733,037.00","USA, Australia",02 Jun 2015,"Lana Wachowski, Lilly Wachowski","Action, Adventure, Sci-Fi","English, Russian",40,A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyNzk2MjA2NF5BMl5BanBnXkFtZTgwMjEwNzk3MjE@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,06 Feb 2015,True,127 min,Jupiter Ascending,movie,http://www.jupiterascending.com/,"Lilly Wachowski, Lana Wachowski",2015,tt1617661,5.4,"146,712",rotten,229
